,Sentence,Sentiment Score,Subjectivity
0,                                   In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since.,0.0,0.3333333333333333
1,"“Whenever you feel like criticizing anyone,” he told me, “just remember that all the people in this world haven’t had the advantages that you’ve had.” He didn’t say any more, but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.",0.5,0.6875
2,"In consequence, I’m inclined to reserve all judgements, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.",0.085,0.33
3,"The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men.",0.016666666666666653,0.5700000000000001
4,"Most of the confidences were unsought—frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon; for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions.",0.06428571428571428,0.4642857142857143
5,Reserving judgements is a matter of infinite hope.,0.0,0.0
6,"I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.",-0.32916666666666666,0.48333333333333334
7,"And, after boasting this way of my tolerance, I come to the admission that it has a limit.",0.0,0.0
8,"Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don’t care what it’s founded on.",-0.059126984126984146,0.5043650793650793
9,When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart.,-0.05,0.18333333333333332
10,"Only Gatsby, the man who gives his name to this book, was exempt from my reaction—Gatsby, who represented everything for which I have an unaffected scorn.",-0.025,0.55
11,"If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.",0.3625,0.5625
12,"This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the “creative temperament”—it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again.",0.11805555555555554,0.7291666666666666
13,"No—Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men.",0.09285714285714285,0.31785714285714284
14,"My family have been prominent, well-to-do people in this Middle Western city for three generations.",0.16666666666666666,0.3333333333333333
15,"The Carraways are something of a clan, and we have a tradition that we’re descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather’s brother, who came here in fifty-one, sent a substitute to the Civil War, and started the wholesale hardware business that my father carries on today.",0.0,0.1
16,"I never saw this great-uncle, but I’m supposed to look like him—with special reference to the rather hard-boiled painting that hangs in father’s office.",0.35714285714285715,0.5714285714285714
17,"I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War.",0.1872159090909091,0.42613636363636365
18,I enjoyed the counter-raid so thoroughly that I came back restless.,0.25,0.35
19,"Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universe—so I decided to go East and learn the bond business.",0.3,0.3
20,"Everybody I knew was in the bond business, so I supposed it could support one more single man.",0.2142857142857143,0.35714285714285715
21,"All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said, “Why—ye-es,” with very grave, hesitant faces.",0.1,0.65
22,"Father agreed to finance me for a year, and after various delays I came East, permanently, I thought, in the spring of twenty-two.",0.0,0.5
23,"The practical thing was to find rooms in the city, but it was a warm season, and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town, it sounded like a great idea.",0.29583333333333334,0.44166666666666665
24,"He found the house, a weather-beaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington, and I went out to the country alone.",-0.1,0.23333333333333334
