,Word/Token,Count,Sentiment Score,Subjectivity
0,In,32,0.0,0.0
1,younger,2,0.0,0.0
2,vulnerable,1,-0.5,0.5
3,years,35,0.0,0.0
4,father,8,0.0,0.0
5,gave,26,0.0,0.0
6,advice,2,0.0,0.0
7,I,1374,0.0,0.0
8,’,1345,0.0,0.0
9,turning,8,0.0,0.0
10,mind,11,0.0,0.0
11,ever,27,0.0,0.0
12,since,12,0.0,0.0
13,“,1456,0.0,0.0
14,Whenever,3,0.0,0.0
15,feel,10,0.0,0.0
16,like,116,0.0,0.0
17,criticizing,1,0.0,0.0
18,anyone,10,0.0,0.0
19,",",2961,0.0,0.0
20,”,1454,0.0,0.0
21,told,44,0.0,0.0
22,remember,16,0.0,0.0
23,people,57,0.0,0.0
24,world,24,0.0,0.0
25,advantages,1,0.0,0.0
26,had.,2,0.0,0.0
27,He,244,0.0,0.0
28,say,34,0.0,0.0
29,always,34,0.0,0.0
30,unusually,2,0.2,1.0
31,communicative,1,0.0,0.0
32,reserved,1,0.0,0.0
33,way,72,0.0,0.0
34,understood,6,0.0,0.0
35,meant,4,0.0,0.0
36,great,24,0.8,0.75
37,deal,4,0.0,0.0
38,consequence,2,0.0,0.0
39,inclined,1,0.0,0.0
40,reserve,2,0.0,0.0
41,judgements,2,0.0,0.0
42,habit,2,0.0,0.0
43,opened,17,0.0,0.0
44,many,15,0.5,0.5
45,curious,12,-0.1,1.0
46,natures,1,0.0,0.0
47,also,4,0.0,0.0
48,made,63,0.0,0.0
49,victim,1,-0.07500000000000001,0.05
50,veteran,1,0.0,0.0
51,bores,1,0.0,0.0
52,The,174,0.0,0.0
53,abnormal,1,0.0,0.0
54,quick,4,0.3333333333333333,0.5
55,detect,1,0.0,0.0
56,attach,2,0.0,0.0
57,quality,11,0.0,0.0
58,appears,1,0.0,0.0
59,normal,1,0.15,0.6499999999999999
60,person,13,0.0,0.0
61,came,108,0.0,0.0
62,college,5,0.0,0.0
63,unjustly,1,0.0,0.0
64,accused,2,0.0,0.0
65,politician,1,0.0,0.0
66,privy,1,0.0,0.0
67,secret,7,-0.4,0.7
68,griefs,1,0.0,0.0
69,wild,10,0.1,0.4
70,unknown,2,-0.1,0.6
71,men,42,0.0,0.0
72,Most,6,0.5,0.5
73,confidences,1,0.0,0.0
74,unsought—frequently,1,0.0,0.0
75,feigned,1,0.0,0.0
76,sleep,7,0.0,0.0
77,preoccupation,1,0.0,0.0
78,hostile,2,0.0,0.0
79,levity,1,0.0,0.0
80,realized,7,0.0,0.0
81,unmistakable,2,0.0,0.0
82,sign,3,0.0,0.0
83,intimate,5,0.2,0.6
84,revelation,1,0.0,0.0
85,quivering,1,0.0,0.0
86,horizon,1,0.0,0.0
87,;,73,0.0,0.0
88,revelations,1,0.0,0.0
89,young,43,0.1,0.4
90,least,14,-0.3,0.4
91,terms,2,0.0,0.0
92,express,2,0.0,0.0
93,usually,3,-0.25,0.25
94,plagiaristic,1,0.0,0.0
95,marred,2,0.0,0.0
96,obvious,2,0.0,0.5
97,suppressions,1,0.0,0.0
98,Reserving,1,0.0,0.0
99,matter,18,0.0,0.0
100,infinite,2,0.0,0.0
101,hope,7,0.0,0.0
102,still,28,0.0,0.0
103,little,101,-0.1875,0.5
104,afraid,9,-0.6,0.9
105,missing,2,-0.2,0.05
106,something,60,0.0,0.0
107,forget,9,0.0,0.0
108,snobbishly,2,0.0,0.0
109,suggested,14,0.0,0.0
110,repeat,3,0.0,0.0
111,sense,3,0.0,0.0
112,fundamental,1,0.0,0.0
113,decencies,1,0.0,0.0
114,parcelled,1,0.0,0.0
115,unequally,1,0.0,0.0
116,birth,1,0.0,0.0
117,And,52,0.0,0.0
118,boasting,1,0.0,0.0
119,tolerance,1,0.0,0.0
120,come,62,0.0,0.0
121,admission,2,0.0,0.0
122,limit,2,0.0,0.0
123,Conduct,1,0.0,0.0
124,may,5,0.0,0.0
125,founded,3,0.0,0.0
126,hard,17,-0.2916666666666667,0.5416666666666666
127,rock,4,0.0,0.0
128,wet,11,-0.1,0.4
129,marshes,2,0.0,0.0
130,certain,13,0.21428571428571427,0.5714285714285714
131,point,8,0.0,0.0
