,Sentence,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag
0,                                   In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since.,-0.2944,0.0,0.091,0.909,0,1,0
1,"The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men.",-0.296,0.0,0.049,0.951,0,1,0
2,"Most of the confidences were unsought—frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon; for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions.",-0.3818,0.0,0.048,0.952,0,1,0
3,"I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.",-0.738,0.0,0.248,0.752,0,1,0
4,"Only Gatsby, the man who gives his name to this book, was exempt from my reaction—Gatsby, who represented everything for which I have an unaffected scorn.",-0.3182,0.052,0.1,0.849,0,1,0
5,"The Carraways are something of a clan, and we have a tradition that we’re descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather’s brother, who came here in fifty-one, sent a substitute to the Civil War, and started the wholesale hardware business that my father carries on today.",-0.7469,0.0,0.095,0.905,0,1,0
6,"I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War.",-0.1779,0.121,0.171,0.708,0,1,0
7,"All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said, “Why—ye-es,” with very grave, hesitant faces.",-0.6335,0.0,0.177,0.823,0,1,0
8,"He found the house, a weather-beaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington, and I went out to the country alone.",-0.3612,0.0,0.085,0.915,0,1,0
9,"It was lonely for a day or so until one morning some man, more recently arrived than I, stopped me on the road.",-0.5267,0.0,0.18,0.82,0,1,0
10,“How do you get to West Egg village?” he asked helplessly.,-0.34,0.0,0.194,0.806,0,1,0
11,And as I walked on I was lonely no longer.,-0.5719,0.0,0.439,0.561,0,1,0
12,"They are not perfect ovals—like the egg in the Columbus story, they are both crushed flat at the contact end—but their physical resemblance must be a source of perpetual wonder to the gulls that fly overhead.",-0.7002,0.0,0.149,0.851,0,1,0
13,And just after the war I spent two days with them in Chicago.,-0.5994,0.0,0.262,0.738,0,1,0
14,"This was a permanent move, said Daisy over the telephone, but I didn’t believe it—I had no sight into Daisy’s heart, but I felt that Tom would drift on forever seeking, a little wistfully, for the dramatic turbulence of some irrecoverable football game.",-0.4215,0.0,0.069,0.931,0,1,0
15,"The front was broken by a line of French windows, glowing now with reflected gold and wide open to the warm windy afternoon, and Tom Buchanan in riding clothes was standing with his legs apart on the front porch.",-0.296,0.046,0.076,0.878,0,1,0
16,"Now he was a sturdy straw-haired man of thirty, with a rather hard mouth and a supercilious manner.",-0.1027,0.0,0.091,0.909,0,1,0
17,Two shining arrogant eyes had established dominance over his face and gave him the appearance of always leaning aggressively forward.,-0.5719,0.074,0.226,0.7,0,1,0
18,It was a body capable of enormous leverage—a cruel body.,-0.296,0.194,0.284,0.522,0,1,0
19,"There was a touch of paternal contempt in it, even toward people he liked—and there were men at New Haven who had hated his guts.",-0.8402,0.0,0.267,0.733,0,1,0
20,"Then there was a boom as Tom Buchanan shut the rear windows and the caught wind died out about the room, and the curtains and the rugs and the two young women ballooned slowly to the floor.",-0.5574,0.0,0.093,0.907,0,1,0
21,"If she saw me out of the corner of her eyes she gave no hint of it—indeed, I was almost surprised into murmuring an apology for having disturbed her by coming in.",-0.4576,0.081,0.139,0.78,0,1,0
22,(I’ve heard it said that Daisy’s murmur was only to make people lean toward her; an irrelevant criticism that made it no less charming.),-0.6249,0.0,0.188,0.812,0,1,0
23,"At any rate, Miss Baker’s lips fluttered, she nodded at me almost imperceptibly, and then quickly tipped her head back again—the object she was balancing had obviously tottered a little and given her something of a fright.",-0.4939,0.0,0.113,0.887,0,1,0
24,Almost any exhibition of complete self-sufficiency draws a stunned tribute from me.,-0.1027,0.0,0.123,0.877,0,1,0
25,"It was the kind of voice that the ear follows up and down, as if each speech is an arrangement of notes that will never be played again.",-0.2584,0.0,0.07,0.93,0,1,0
26,This annoyed me.,-0.3818,0.0,0.565,0.435,0,1,0
27,“I’d be a God damned fool to live anywhere else.” At this point Miss Baker said: “Absolutely!” with such suddenness that I started—it was the first word she had uttered since I came into the room.,-0.6476,0.055,0.192,0.753,0,1,0
