,Word/Token,Count
0,In,32
1,younger,2
2,vulnerable,1
3,years,35
4,father,8
5,gave,26
6,advice,2
7,I,1374
8,’,1345
9,turning,8
10,mind,11
11,ever,27
12,since,12
13,“,1456
14,Whenever,3
15,feel,10
16,like,116
17,criticizing,1
18,anyone,10
19,",",2961
20,”,1454
21,told,44
22,remember,16
23,people,57
24,world,24
25,advantages,1
26,had.,2
27,He,244
28,say,34
29,always,34
30,unusually,2
31,communicative,1
32,reserved,1
33,way,72
34,understood,6
35,meant,4
36,great,24
37,deal,4
38,consequence,2
39,inclined,1
40,reserve,2
41,judgements,2
42,habit,2
43,opened,17
44,many,15
45,curious,12
46,natures,1
47,also,4
48,made,63
49,victim,1
50,veteran,1
51,bores,1
52,The,174
53,abnormal,1
54,quick,4
55,detect,1
56,attach,2
57,quality,11
58,appears,1
59,normal,1
60,person,13
61,came,108
62,college,5
63,unjustly,1
64,accused,2
65,politician,1
66,privy,1
67,secret,7
68,griefs,1
69,wild,10
70,unknown,2
71,men,42
72,Most,6
73,confidences,1
74,unsought—frequently,1
75,feigned,1
76,sleep,7
77,preoccupation,1
78,hostile,2
79,levity,1
80,realized,7
81,unmistakable,2
82,sign,3
83,intimate,5
84,revelation,1
85,quivering,1
86,horizon,1
87,;,73
88,revelations,1
89,young,43
90,least,14
91,terms,2
92,express,2
93,usually,3
94,plagiaristic,1
95,marred,2
96,obvious,2
97,suppressions,1
98,Reserving,1
99,matter,18
100,infinite,2
101,hope,7
102,still,28
103,little,101
104,afraid,9
105,missing,2
106,something,60
107,forget,9
108,snobbishly,2
109,suggested,14
110,repeat,3
111,sense,3
112,fundamental,1
113,decencies,1
114,parcelled,1
115,unequally,1
116,birth,1
117,And,52
118,boasting,1
119,tolerance,1
120,come,62
121,admission,2
122,limit,2
123,Conduct,1
124,may,5
125,founded,3
126,hard,17
127,rock,4
128,wet,11
129,marshes,2
130,certain,13
131,point,8
132,care,14
133,When,41
134,back,106
135,East,20
136,last,44
137,autumn,5
138,felt,24
139,wanted,27
140,uniform,4
141,sort,23
142,moral,1
143,attention,6
144,forever,10
145,riotous,2
146,excursions,1
147,privileged,1
148,glimpses,1
149,human,7
150,heart,19
151,Only,4
152,Gatsby,250
153,man,98
154,gives,4
155,name,38
156,book,14
157,exempt,1
158,reaction—Gatsby,1
159,represented,2
160,everything,22
161,unaffected,1
162,scorn,4
163,If,18
164,personality,2
165,unbroken,2
166,series,5
167,successful,1
168,gestures,2
169,gorgeous,5
170,heightened,1
171,sensitivity,1
172,promises,1
173,life,27
174,related,1
175,one,128
176,intricate,1
177,machines,2
178,register,1
179,earthquakes,1
180,ten,7
181,thousand,6
182,miles,4
183,away,66
184,This,32
185,responsiveness,1
186,nothing,31
187,flabby,1
