w0,n,p
,3465,0.06693711967545639
00,8,0.00015454457645127016
12,1,1.931807205640877e-05
15,3,5.795421616922631e-05
158th,1,1.931807205640877e-05
1902,1,1.931807205640877e-05
1906,1,1.931807205640877e-05
1915,1,1.931807205640877e-05
1919,3,5.795421616922631e-05
1922,1,1.931807205640877e-05
3,1,1.931807205640877e-05
30,4,7.727228822563508e-05
33rd,1,1.931807205640877e-05
4,2,3.863614411281754e-05
5,3,5.795421616922631e-05
5th,1,1.931807205640877e-05
6,4,7.727228822563508e-05
7,2,3.863614411281754e-05
8,2,3.863614411281754e-05
9,1,1.931807205640877e-05
a,1398,0.02700666473485946
aalmost,1,1.931807205640877e-05
abandon,1,1.931807205640877e-05
abandoned,2,3.863614411281754e-05
able,6,0.00011590843233845262
abnormal,1,1.931807205640877e-05
abortive,2,3.863614411281754e-05
abounded,1,1.931807205640877e-05
abounding,1,1.931807205640877e-05
about,149,0.0028783927364049067
aboutthings,1,1.931807205640877e-05
above,7,0.0001352265043948614
abrams,1,1.931807205640877e-05
abroad,1,1.931807205640877e-05
abrupt,1,1.931807205640877e-05
abruptly,7,0.0001352265043948614
absence,3,5.795421616922631e-05
absent,1,1.931807205640877e-05
absently,3,5.795421616922631e-05
absolute,4,7.727228822563508e-05
absolutely,8,0.00015454457645127016
absorbed,4,7.727228822563508e-05
absorbing,2,3.863614411281754e-05
absorption,1,1.931807205640877e-05
abstracted,1,1.931807205640877e-05
abstractedly,1,1.931807205640877e-05
abstraction,1,1.931807205640877e-05
absurd,3,5.795421616922631e-05
abyss,1,1.931807205640877e-05
accelerator,1,1.931807205640877e-05
accentuated,1,1.931807205640877e-05
accept,1,1.931807205640877e-05
accepted,7,0.0001352265043948614
accident,6,0.00011590843233845262
accidental,3,5.795421616922631e-05
accidentally,1,1.931807205640877e-05
accompanied,1,1.931807205640877e-05
accompanies,1,1.931807205640877e-05
accomplishments,1,1.931807205640877e-05
according,2,3.863614411281754e-05
account,1,1.931807205640877e-05
accounted,1,1.931807205640877e-05
accounting,2,3.863614411281754e-05
accusations,2,3.863614411281754e-05
accused,2,3.863614411281754e-05
accusingly,2,3.863614411281754e-05
achievement,1,1.931807205640877e-05
aching,1,1.931807205640877e-05
acknowledged,1,1.931807205640877e-05
acquaintance,2,3.863614411281754e-05
acquaintances,2,3.863614411281754e-05
acre,1,1.931807205640877e-05
acres,1,1.931807205640877e-05
across,26,0.000502269873466628
act,5,9.659036028204386e-05
acting,2,3.863614411281754e-05
action,1,1.931807205640877e-05
activities,1,1.931807205640877e-05
actor,1,1.931807205640877e-05
actress,1,1.931807205640877e-05
actual,2,3.863614411281754e-05
actually,3,5.795421616922631e-05
acute,2,3.863614411281754e-05
adams,1,1.931807205640877e-05
adapting,1,1.931807205640877e-05
added,12,0.00023181686467690525
addeda,1,1.931807205640877e-05
addenda,1,1.931807205640877e-05
adding,2,3.863614411281754e-05
addition,1,1.931807205640877e-05
address,4,7.727228822563508e-05
addressed,3,5.795421616922631e-05
addresses,1,1.931807205640877e-05
addressing,1,1.931807205640877e-05
addressinside,1,1.931807205640877e-05
adjusted,1,1.931807205640877e-05
adjustment,1,1.931807205640877e-05
admiration,2,3.863614411281754e-05
admire,1,1.931807205640877e-05
admired,4,7.727228822563508e-05
admiringly,1,1.931807205640877e-05
admission,2,3.863614411281754e-05
admitted,4,7.727228822563508e-05
adorable,1,1.931807205640877e-05
adore,1,1.931807205640877e-05
adriatic,1,1.931807205640877e-05
advance,1,1.931807205640877e-05
advanced,1,1.931807205640877e-05
advancing,1,1.931807205640877e-05
advantage,2,3.863614411281754e-05
advantages,1,1.931807205640877e-05
adventitious,1,1.931807205640877e-05
adventurous,1,1.931807205640877e-05
advertisement,4,7.727228822563508e-05
advice,2,3.863614411281754e-05
advised,2,3.863614411281754e-05
aesthetic,1,1.931807205640877e-05
affair,6,0.00011590843233845262
affairs,2,3.863614411281754e-05
affairsand,1,1.931807205640877e-05
affect,2,3.863614411281754e-05
affectations,1,1.931807205640877e-05
affected,2,3.863614411281754e-05
affection,2,3.863614411281754e-05
affirmed,1,1.931807205640877e-05
afford,1,1.931807205640877e-05
affront,1,1.931807205640877e-05
afraid,9,0.00017386264850767892
after,88,0.0016999903409639719
afternoon,42,0.0008113590263691683
afternoons,2,3.863614411281754e-05
afterward,6,0.00011590843233845262
again,55,0.0010624939631024824
against,32,0.0006181783058050806
againthe,1,1.931807205640877e-05
age,5,9.659036028204386e-05
aged,1,1.931807205640877e-05
aggressive,1,1.931807205640877e-05
aggressively,2,3.863614411281754e-05
ago,19,0.00036704336907176664
agonizingly,1,1.931807205640877e-05
agreeable,1,1.931807205640877e-05
agreed,9,0.00017386264850767892
agreement,2,3.863614411281754e-05
ah,3,5.795421616922631e-05
ahead,5,9.659036028204386e-05
aid,1,1.931807205640877e-05
aint,1,1.931807205640877e-05
air,25,0.00048295180141021924
aired,1,1.931807205640877e-05
airedale,2,3.863614411281754e-05
airedaleundoubtedly,1,1.931807205640877e-05
ajar,2,3.863614411281754e-05
alarm,1,1.931807205640877e-05
alarmed,2,3.863614411281754e-05
alarming,1,1.931807205640877e-05
albany,1,1.931807205640877e-05
albrucksburger,1,1.931807205640877e-05
alcohol,1,1.931807205640877e-05
ale,4,7.727228822563508e-05
aleand,1,1.931807205640877e-05
alert,3,5.795421616922631e-05
alertly,2,3.863614411281754e-05
alighted,1,1.931807205640877e-05
alignment,1,1.931807205640877e-05
alive,5,9.659036028204386e-05
all,217,0.004192021636240703
alland,1,1.931807205640877e-05
allexcept,1,1.931807205640877e-05
alleys,1,1.931807205640877e-05
allied,1,1.931807205640877e-05
alltom,1,1.931807205640877e-05
almost,20,0.00038636144112817543
alone,31,0.0005988602337486719
alonefifty,1,1.931807205640877e-05
alonehe,1,1.931807205640877e-05
along,31,0.0005988602337486719
alongshore,3,5.795421616922631e-05
alongside,2,3.863614411281754e-05
aloud,5,9.659036028204386e-05
already,15,0.0002897710808461316
also,5,9.659036028204386e-05
altered,1,1.931807205640877e-05
although,1,1.931807205640877e-05
altogether,1,1.931807205640877e-05
aluminium,1,1.931807205640877e-05
always,33,0.0006374963778614895
am,16,0.0003090891529025403
amazed,2,3.863614411281754e-05
amazing,2,3.863614411281754e-05
ambiguously,1,1.931807205640877e-05
ambitions,1,1.931807205640877e-05
ambitious,2,3.863614411281754e-05
ambulance,1,1.931807205640877e-05
amen,1,1.931807205640877e-05
america,2,3.863614411281754e-05
american,5,9.659036028204386e-05
americans,2,3.863614411281754e-05
americanthat,1,1.931807205640877e-05
amid,1,1.931807205640877e-05
ammonia,1,1.931807205640877e-05
among,21,0.00040567951318458417
amorphous,1,1.931807205640877e-05
amount,4,7.727228822563508e-05
amour,1,1.931807205640877e-05
amputated,1,1.931807205640877e-05
amused,2,3.863614411281754e-05
amusement,1,1.931807205640877e-05
an,186,0.003593161402492031
anaemic,1,1.931807205640877e-05
ancestors,1,1.931807205640877e-05
ancestral,1,1.931807205640877e-05
anchor,2,3.863614411281754e-05
anchored,1,1.931807205640877e-05
and,1531,0.029575968318361828
andeats,1,1.931807205640877e-05
andhere,1,1.931807205640877e-05
angle,1,1.931807205640877e-05
angry,4,7.727228822563508e-05
announced,4,7.727228822563508e-05
annoy,1,1.931807205640877e-05
annoyance,1,1.931807205640877e-05
annoyed,3,5.795421616922631e-05
anon,1,1.931807205640877e-05
another,36,0.0006954505940307157
answer,9,0.00017386264850767892
answered,17,0.0003284072249589491
answering,2,3.863614411281754e-05
antecedents,1,1.931807205640877e-05
anteroom,1,1.931807205640877e-05
anticipation,1,1.931807205640877e-05
anticlimax,1,1.931807205640877e-05
antoinette,1,1.931807205640877e-05
anxiously,4,7.727228822563508e-05
any,67,0.0012943108277793877
anybody,7,0.0001352265043948614
anyhow,12,0.00023181686467690525
anyhowdaisy,1,1.931807205640877e-05
anyone,10,0.00019318072056408772
anything,27,0.0005215879455230368
anyways,1,1.931807205640877e-05
anywhere,3,5.795421616922631e-05
aof,1,1.931807205640877e-05
apart,4,7.727228822563508e-05
apartment,7,0.0001352265043948614
apartments,3,5.795421616922631e-05
apathetically,1,1.931807205640877e-05
apologetically,1,1.931807205640877e-05
apologize,1,1.931807205640877e-05
apology,2,3.863614411281754e-05
appalled,1,1.931807205640877e-05
