w0,w1,w2,n,p
,,<s>,32,0.0006181783058050806
,,he,1,1.931807205640877e-05
,,hot,2,3.863614411281754e-05
,,is,1,1.931807205640877e-05
,,nick,1,1.931807205640877e-05
,,objected,1,1.931807205640877e-05
,,she,1,1.931807205640877e-05
,7,<s>,1,1.931807205640877e-05
,<s>,<s>,950,0.018352168453588332
,a,<s>,2,3.863614411281754e-05
,a,bad,1,1.931807205640877e-05
,a,breeze,1,1.931807205640877e-05
,a,brewer,1,1.931807205640877e-05
,a,caddy,1,1.931807205640877e-05
,a,celebrated,1,1.931807205640877e-05
,a,chauffeur,1,1.931807205640877e-05
,a,damp,1,1.931807205640877e-05
,a,fellows,1,1.931807205640877e-05
,a,few,1,1.931807205640877e-05
,a,foghorn,1,1.931807205640877e-05
,a,humorous,1,1.931807205640877e-05
,a,hundred,1,1.931807205640877e-05
,a,large,1,1.931807205640877e-05
,a,lemonade,1,1.931807205640877e-05
,a,little,1,1.931807205640877e-05
,a,lot,1,1.931807205640877e-05
,a,maid,1,1.931807205640877e-05
,a,man,1,1.931807205640877e-05
,a,massage,1,1.931807205640877e-05
,a,medium,1,1.931807205640877e-05
,a,momentary,1,1.931807205640877e-05
,a,neat,1,1.931807205640877e-05
,a,new,1,1.931807205640877e-05
,a,phrase,1,1.931807205640877e-05
,a,promise,1,1.931807205640877e-05
,a,reluctant,1,1.931807205640877e-05
,a,rope,1,1.931807205640877e-05
,a,silver,1,1.931807205640877e-05
,a,small,1,1.931807205640877e-05
,a,souvenir,1,1.931807205640877e-05
,a,subdued,1,1.931807205640877e-05
,a,tiny,1,1.931807205640877e-05
,a,tray,1,1.931807205640877e-05
,a,universe,1,1.931807205640877e-05
,a,wafer,1,1.931807205640877e-05
,a,waiter,1,1.931807205640877e-05
,a,week,1,1.931807205640877e-05
,a,young,1,1.931807205640877e-05
,about,five,1,1.931807205640877e-05
,absolutely,<s>,1,1.931807205640877e-05
,admitted,the,1,1.931807205640877e-05
,affirmed,the,1,1.931807205640877e-05
,after,<s>,1,1.931807205640877e-05
,after,a,3,5.795421616922631e-05
,after,all,1,1.931807205640877e-05
,after,changing,1,1.931807205640877e-05
,after,his,1,1.931807205640877e-05
,after,she,1,1.931807205640877e-05
,after,that,4,7.727228822563508e-05
,after,the,1,1.931807205640877e-05
,after,you,1,1.931807205640877e-05
,again,a,1,1.931807205640877e-05
,again,in,2,3.863614411281754e-05
,agreed,gatsby,1,1.931807205640877e-05
,agreed,the,1,1.931807205640877e-05
,agreed,tom,1,1.931807205640877e-05
,agreed,wilson,1,1.931807205640877e-05
,ah,,1,1.931807205640877e-05
,ahead,lay,1,1.931807205640877e-05
,albrucksburger,and,1,1.931807205640877e-05
,all,<s>,1,1.931807205640877e-05
,all,i,1,1.931807205640877e-05
,all,my,1,1.931807205640877e-05
,all,night,1,1.931807205640877e-05
,all,right,3,5.795421616922631e-05
,all,the,2,3.863614411281754e-05
,all,they,1,1.931807205640877e-05
,all,well,1,1.931807205640877e-05
,almost,<s>,1,1.931807205640877e-05
,almost,the,1,1.931807205640877e-05
,already,there,1,1.931807205640877e-05
,also,from,1,1.931807205640877e-05
,americans,while,1,1.931807205640877e-05
,among,the,1,1.931807205640877e-05
,an,hour,1,1.931807205640877e-05
,an,irrelevant,1,1.931807205640877e-05
,and,<s>,5,9.659036028204386e-05
,and,all,2,3.863614411281754e-05
,and,as,4,7.727228822563508e-05
,and,at,1,1.931807205640877e-05
