chap_num,para_num,sent_num,token_num,token_str,term_str
1,0,0,0,In,in
1,0,0,1,my,my
1,0,0,2,younger,younger
1,0,0,3,and,and
1,0,0,4,more,more
1,0,0,5,vulnerable,vulnerable
1,0,0,6,years,years
1,0,0,7,my,my
1,0,0,8,father,father
1,0,0,9,gave,gave
1,0,0,10,me,me
1,0,0,11,some,some
1,0,0,12,advice,advice
1,1,0,0,that,that
1,1,0,1,I’ve,ive
1,1,0,2,been,been
1,1,0,3,turning,turning
1,1,0,4,over,over
1,1,0,5,in,in
1,1,0,6,my,my
1,1,0,7,mind,mind
1,1,0,8,ever,ever
1,1,0,9,since,since
1,2,0,0,“Whenever,whenever
1,2,0,1,you,you
1,2,0,2,feel,feel
1,2,0,3,like,like
1,2,0,4,criticizing,criticizing
1,2,0,5,anyone,anyone
1,2,0,6,”,
1,2,0,7,he,he
1,2,0,8,told,told
1,2,0,9,me,me
1,2,0,10,“just,just
1,3,0,0,remember,remember
1,3,0,1,that,that
1,3,0,2,all,all
1,3,0,3,the,the
1,3,0,4,people,people
1,3,0,5,in,in
1,3,0,6,this,this
1,3,0,7,world,world
1,3,0,8,haven’t,havent
1,3,0,9,had,had
1,3,0,10,the,the
1,3,0,11,advantages,advantages
1,4,0,0,that,that
1,4,0,1,you’ve,youve
1,4,0,2,had,had
1,4,1,0,”,
1,5,0,0,He,he
1,5,0,1,didn’t,didnt
1,5,0,2,say,say
1,5,0,3,any,any
1,5,0,4,more,more
1,5,0,5,but,but
1,5,0,6,we’ve,weve
1,5,0,7,always,always
1,5,0,8,been,been
1,5,0,9,unusually,unusually
1,5,0,10,communicative,communicative
1,6,0,0,in,in
1,6,0,1,a,a
1,6,0,2,reserved,reserved
1,6,0,3,way,way
1,6,0,4,and,and
1,6,0,5,I,i
1,6,0,6,understood,understood
1,6,0,7,that,that
1,6,0,8,he,he
1,6,0,9,meant,meant
1,6,0,10,a,a
1,6,0,11,great,great
1,6,0,12,deal,deal
1,6,0,13,more,more
1,7,0,0,than,than
1,7,0,1,that,that
1,7,1,0,,
1,7,1,1,In,in
1,7,1,2,consequence,consequence
1,7,1,3,I’m,im
1,7,1,4,inclined,inclined
1,7,1,5,to,to
1,7,1,6,reserve,reserve
1,7,1,7,all,all
1,7,1,8,judgements,judgements
1,7,1,9,a,a
1,8,0,0,habit,habit
1,8,0,1,that,that
1,8,0,2,has,has
1,8,0,3,opened,opened
1,8,0,4,up,up
1,8,0,5,many,many
1,8,0,6,curious,curious
1,8,0,7,natures,natures
1,8,0,8,to,to
1,8,0,9,me,me
1,8,0,10,and,and
1,8,0,11,also,also
1,8,0,12,made,made
1,8,0,13,me,me
1,9,0,0,the,the
1,9,0,1,victim,victim
1,9,0,2,of,of
1,9,0,3,not,not
1,9,0,4,a,a
1,9,0,5,few,few
1,9,0,6,veteran,veteran
1,9,0,7,bores,bores
1,9,1,0,,
1,9,1,1,The,the
1,9,1,2,abnormal,abnormal
1,9,1,3,mind,mind
1,9,1,4,is,is
1,9,1,5,quick,quick
1,9,1,6,to,to
1,10,0,0,detect,detect
1,10,0,1,and,and
1,10,0,2,attach,attach
1,10,0,3,itself,itself
1,10,0,4,to,to
1,10,0,5,this,this
1,10,0,6,quality,quality
1,10,0,7,when,when
1,10,0,8,it,it
1,10,0,9,appears,appears
1,10,0,10,in,in
1,10,0,11,a,a
1,10,0,12,normal,normal
1,11,0,0,person,person
1,11,0,1,and,and
1,11,0,2,so,so
1,11,0,3,it,it
1,11,0,4,came,came
1,11,0,5,about,about
1,11,0,6,that,that
1,11,0,7,in,in
1,11,0,8,college,college
1,11,0,9,I,i
1,11,0,10,was,was
1,11,0,11,unjustly,unjustly
1,11,0,12,accused,accused
1,11,0,13,of,of
1,12,0,0,being,being
1,12,0,1,a,a
1,12,0,2,politician,politician
1,12,0,3,because,because
1,12,0,4,I,i
1,12,0,5,was,was
1,12,0,6,privy,privy
1,12,0,7,to,to
1,12,0,8,the,the
1,12,0,9,secret,secret
1,12,0,10,griefs,griefs
1,12,0,11,of,of
1,12,0,12,wild,wild
1,12,0,13,,
1,13,0,0,unknown,unknown
1,13,0,1,men,men
1,13,1,0,,
1,13,1,1,Most,most
1,13,1,2,of,of
1,13,1,3,the,the
1,13,1,4,confidences,confidences
1,13,1,5,were,were
1,13,1,6,unsought—frequently,unsoughtfrequently
1,13,1,7,I,i
1,13,1,8,have,have
1,14,0,0,feigned,feigned
1,14,0,1,sleep,sleep
1,14,0,2,preoccupation,preoccupation
1,14,0,3,or,or
1,14,0,4,a,a
1,14,0,5,hostile,hostile
1,14,0,6,levity,levity
1,14,0,7,when,when
1,14,0,8,I,i
1,14,0,9,realized,realized
1,14,0,10,by,by
1,15,0,0,some,some
1,15,0,1,unmistakable,unmistakable
1,15,0,2,sign,sign
1,15,0,3,that,that
1,15,0,4,an,an
1,15,0,5,intimate,intimate
1,15,0,6,revelation,revelation
1,15,0,7,was,was
1,15,0,8,quivering,quivering
1,15,0,9,on,on
1,16,0,0,the,the
1,16,0,1,horizon,horizon
1,16,1,0,,
1,16,1,1,for,for
1,16,1,2,the,the
1,16,1,3,intimate,intimate
1,16,1,4,revelations,revelations
1,16,1,5,of,of
1,16,1,6,young,young
1,16,1,7,men,men
1,16,1,8,or,or
1,16,1,9,at,at
1,16,1,10,least,least
1,17,0,0,the,the
1,17,0,1,terms,terms
1,17,0,2,in,in
1,17,0,3,which,which
1,17,0,4,they,they
1,17,0,5,express,express
1,17,0,6,them,them
1,17,0,7,are,are
1,17,0,8,usually,usually
1,17,0,9,plagiaristic,plagiaristic
1,17,0,10,and,and
1,18,0,0,marred,marred
1,18,0,1,by,by
1,18,0,2,obvious,obvious
1,18,0,3,suppressions,suppressions
1,18,1,0,,
1,18,1,1,Reserving,reserving
1,18,1,2,judgements,judgements
1,18,1,3,is,is
1,18,1,4,a,a
1,18,1,5,matter,matter
1,18,1,6,of,of
1,19,0,0,infinite,infinite
1,19,0,1,hope,hope
1,19,1,0,,
1,19,1,1,I,i
1,19,1,2,am,am
1,19,1,3,still,still
1,19,1,4,a,a
1,19,1,5,little,little
1,19,1,6,afraid,afraid
1,19,1,7,of,of
1,19,1,8,missing,missing
1,19,1,9,something,something
1,19,1,10,if,if
1,19,1,11,I,i
1,20,0,0,forget,forget
1,20,0,1,that,that
1,20,0,2,as,as
1,20,0,3,my,my
1,20,0,4,father,father
1,20,0,5,snobbishly,snobbishly
1,20,0,6,suggested,suggested
1,20,0,7,and,and
1,20,0,8,I,i
1,20,0,9,snobbishly,snobbishly
1,21,0,0,repeat,repeat
1,21,0,1,a,a
1,21,0,2,sense,sense
1,21,0,3,of,of
1,21,0,4,the,the
1,21,0,5,fundamental,fundamental
1,21,0,6,decencies,decencies
1,21,0,7,is,is
1,21,0,8,parcelled,parcelled
1,21,0,9,out,out
1,22,0,0,unequally,unequally
1,22,0,1,at,at
1,22,0,2,birth,birth
1,23,0,0,And,and
1,23,0,1,after,after
1,23,0,2,boasting,boasting
1,23,0,3,this,this
1,23,0,4,way,way
1,23,0,5,of,of
1,23,0,6,my,my
1,23,0,7,tolerance,tolerance
1,23,0,8,I,i
1,23,0,9,come,come
1,23,0,10,to,to
1,23,0,11,the,the
1,23,0,12,admission,admission
1,24,0,0,that,that
1,24,0,1,it,it
1,24,0,2,has,has
1,24,0,3,a,a
1,24,0,4,limit,limit
1,24,1,0,,
1,24,1,1,Conduct,conduct
1,24,1,2,may,may
1,24,1,3,be,be
1,24,1,4,founded,founded
1,24,1,5,on,on
1,24,1,6,the,the
1,24,1,7,hard,hard
1,24,1,8,rock,rock
1,24,1,9,or,or
1,24,1,10,the,the
1,25,0,0,wet,wet
1,25,0,1,marshes,marshes
1,25,0,2,but,but
1,25,0,3,after,after
1,25,0,4,a,a
1,25,0,5,certain,certain
1,25,0,6,point,point
1,25,0,7,I,i
1,25,0,8,don’t,dont
1,25,0,9,care,care
1,25,0,10,what,what
1,25,0,11,it’s,its
1,25,0,12,founded,founded
1,26,0,0,on,on
1,26,1,0,,
1,26,1,1,When,when
1,26,1,2,I,i
1,26,1,3,came,came
1,26,1,4,back,back
1,26,1,5,from,from
1,26,1,6,the,the
1,26,1,7,East,east
1,26,1,8,last,last
1,26,1,9,autumn,autumn
1,26,1,10,I,i
1,26,1,11,felt,felt
1,26,1,12,that,that
1,26,1,13,I,i
1,26,1,14,wanted,wanted
1,27,0,0,the,the
1,27,0,1,world,world
1,27,0,2,to,to
1,27,0,3,be,be
1,27,0,4,in,in
1,27,0,5,uniform,uniform
1,27,0,6,and,and
1,27,0,7,at,at
1,27,0,8,a,a
1,27,0,9,sort,sort
1,27,0,10,of,of
1,27,0,11,moral,moral
1,27,0,12,attention,attention
1,27,0,13,forever,forever
1,27,1,0,,
1,27,1,1,I,i
1,28,0,0,wanted,wanted
1,28,0,1,no,no
1,28,0,2,more,more
1,28,0,3,riotous,riotous
1,28,0,4,excursions,excursions
1,28,0,5,with,with
1,28,0,6,privileged,privileged
1,28,0,7,glimpses,glimpses
1,28,0,8,into,into
1,28,0,9,the,the
1,29,0,0,human,human
1,29,0,1,heart,heart
1,29,1,0,,
1,29,1,1,Only,only
1,29,1,2,Gatsby,gatsby
1,29,1,3,the,the
1,29,1,4,man,man
1,29,1,5,who,who
1,29,1,6,gives,gives
1,29,1,7,his,his
1,29,1,8,name,name
1,29,1,9,to,to
1,29,1,10,this,this
1,29,1,11,book,book
1,29,1,12,was,was
1,30,0,0,exempt,exempt
1,30,0,1,from,from
1,30,0,2,my,my
1,30,0,3,reaction—Gatsby,reactiongatsby
1,30,0,4,who,who
1,30,0,5,represented,represented
1,30,0,6,everything,everything
1,30,0,7,for,for
1,30,0,8,which,which
1,30,0,9,I,i
1,31,0,0,have,have
1,31,0,1,an,an
1,31,0,2,unaffected,unaffected
1,31,0,3,scorn,scorn
1,31,1,0,,
1,31,1,1,If,if
1,31,1,2,personality,personality
1,31,1,3,is,is
1,31,1,4,an,an
1,31,1,5,unbroken,unbroken
1,31,1,6,series,series
1,31,1,7,of,of
1,32,0,0,successful,successful
1,32,0,1,gestures,gestures
1,32,0,2,then,then
1,32,0,3,there,there
1,32,0,4,was,was
1,32,0,5,something,something
1,32,0,6,gorgeous,gorgeous
1,32,0,7,about,about
1,32,0,8,him,him
1,32,0,9,some,some
1,33,0,0,heightened,heightened
1,33,0,1,sensitivity,sensitivity
1,33,0,2,to,to
1,33,0,3,the,the
1,33,0,4,promises,promises
1,33,0,5,of,of
1,33,0,6,life,life
1,33,0,7,as,as
1,33,0,8,if,if
1,33,0,9,he,he
1,33,0,10,were,were
1,33,0,11,related,related
1,34,0,0,to,to
1,34,0,1,one,one
1,34,0,2,of,of
1,34,0,3,those,those
1,34,0,4,intricate,intricate
1,34,0,5,machines,machines
1,34,0,6,that,that
1,34,0,7,register,register
1,34,0,8,earthquakes,earthquakes
1,34,0,9,ten,ten
1,35,0,0,thousand,thousand
1,35,0,1,miles,miles
1,35,0,2,away,away
1,35,1,0,,
1,35,1,1,This,this
1,35,1,2,responsiveness,responsiveness
1,35,1,3,had,had
1,35,1,4,nothing,nothing
1,35,1,5,to,to
1,35,1,6,do,do
1,35,1,7,with,with
1,35,1,8,that,that
1,36,0,0,flabby,flabby
