line_num,line_str,chap_num
59,In my younger and more vulnerable years my father gave me some advice,1
60,that I’ve been turning over in my mind ever since.,1
62,"“Whenever you feel like criticizing anyone,” he told me, “just",1
63,remember that all the people in this world haven’t had the advantages,1
64,that you’ve had.”,1
66,"He didn’t say any more, but we’ve always been unusually communicative",1
67,"in a reserved way, and I understood that he meant a great deal more",1
68,"than that. In consequence, I’m inclined to reserve all judgements, a",1
69,habit that has opened up many curious natures to me and also made me,1
70,the victim of not a few veteran bores. The abnormal mind is quick to,1
71,detect and attach itself to this quality when it appears in a normal,1
72,"person, and so it came about that in college I was unjustly accused of",1
73,"being a politician, because I was privy to the secret griefs of wild,",1
74,unknown men. Most of the confidences were unsought—frequently I have,1
75,"feigned sleep, preoccupation, or a hostile levity when I realized by",1
76,some unmistakable sign that an intimate revelation was quivering on,1
77,"the horizon; for the intimate revelations of young men, or at least",1
78,"the terms in which they express them, are usually plagiaristic and",1
79,marred by obvious suppressions. Reserving judgements is a matter of,1
80,infinite hope. I am still a little afraid of missing something if I,1
81,"forget that, as my father snobbishly suggested, and I snobbishly",1
82,"repeat, a sense of the fundamental decencies is parcelled out",1
83,unequally at birth.,1
85,"And, after boasting this way of my tolerance, I come to the admission",1
86,that it has a limit. Conduct may be founded on the hard rock or the,1
87,"wet marshes, but after a certain point I don’t care what it’s founded",1
88,on. When I came back from the East last autumn I felt that I wanted,1
89,the world to be in uniform and at a sort of moral attention forever; I,1
90,wanted no more riotous excursions with privileged glimpses into the,1
91,"human heart. Only Gatsby, the man who gives his name to this book, was",1
92,"exempt from my reaction—Gatsby, who represented everything for which I",1
93,have an unaffected scorn. If personality is an unbroken series of,1
94,"successful gestures, then there was something gorgeous about him, some",1
95,"heightened sensitivity to the promises of life, as if he were related",1
96,to one of those intricate machines that register earthquakes ten,1
97,thousand miles away. This responsiveness had nothing to do with that,1
98,flabby impressionability which is dignified under the name of the,1
99,"“creative temperament”—it was an extraordinary gift for hope, a",1
100,romantic readiness such as I have never found in any other person and,1
101,which it is not likely I shall ever find again. No—Gatsby turned out,1
102,"all right at the end; it is what preyed on Gatsby, what foul dust",1
103,floated in the wake of his dreams that temporarily closed out my,1
104,interest in the abortive sorrows and short-winded elations of men.,1
106,------------------------------------------------------------------------,1
108,"My family have been prominent, well-to-do people in this Middle",1
109,Western city for three generations. The Carraways are something of a,1
110,"clan, and we have a tradition that we’re descended from the Dukes of",1
111,"Buccleuch, but the actual founder of my line was my grandfather’s",1
112,"brother, who came here in fifty-one, sent a substitute to the Civil",1
113,"War, and started the wholesale hardware business that my father",1
114,carries on today.,1
116,"I never saw this great-uncle, but I’m supposed to look like him—with",1
117,special reference to the rather hard-boiled painting that hangs in,1
118,"father’s office. I graduated from New Haven in 1915, just a quarter of",1
119,"a century after my father, and a little later I participated in that",1
120,delayed Teutonic migration known as the Great War. I enjoyed the,1
121,counter-raid so thoroughly that I came back restless. Instead of being,1
122,"the warm centre of the world, the Middle West now seemed like the",1
123,ragged edge of the universe—so I decided to go East and learn the bond,1
124,"business. Everybody I knew was in the bond business, so I supposed it",1
125,could support one more single man. All my aunts and uncles talked it,1
126,"over as if they were choosing a prep school for me, and finally said,",1
127,"“Why—ye-es,” with very grave, hesitant faces. Father agreed to finance",1
128,"me for a year, and after various delays I came East, permanently, I",1
129,"thought, in the spring of twenty-two.",1
131,"The practical thing was to find rooms in the city, but it was a warm",1
132,"season, and I had just left a country of wide lawns and friendly",1
133,"trees, so when a young man at the office suggested that we take a",1
134,"house together in a commuting town, it sounded like a great idea. He",1
135,"found the house, a weather-beaten cardboard bungalow at eighty a",1
136,"month, but at the last minute the firm ordered him to Washington, and",1
137,I went out to the country alone. I had a dog—at least I had him for a,1
138,"few days until he ran away—and an old Dodge and a Finnish woman, who",1
139,made my bed and cooked breakfast and muttered Finnish wisdom to,1
140,herself over the electric stove.,1
142,"It was lonely for a day or so until one morning some man, more",1
143,"recently arrived than I, stopped me on the road.",1
145,“How do you get to West Egg village?” he asked helplessly.,1
147,"I told him. And as I walked on I was lonely no longer. I was a guide,",1
148,"a pathfinder, an original settler. He had casually conferred on me the",1
149,freedom of the neighbourhood.,1
151,And so with the sunshine and the great bursts of leaves growing on the,1
152,"trees, just as things grow in fast movies, I had that familiar",1
153,conviction that life was beginning over again with the summer.,1
155,"There was so much to read, for one thing, and so much fine health to",1
156,be pulled down out of the young breath-giving air. I bought a dozen,1
157,"volumes on banking and credit and investment securities, and they",1
158,"stood on my shelf in red and gold like new money from the mint,",1
159,promising to unfold the shining secrets that only Midas and Morgan and,1
160,Maecenas knew. And I had the high intention of reading many other,1
161,books besides. I was rather literary in college—one year I wrote a,1
162,series of very solemn and obvious editorials for the Yale News—and now,1
163,I was going to bring back all such things into my life and become,1
164,"again that most limited of all specialists, the “well-rounded man.”",1
165,This isn’t just an epigram—life is much more successfully looked at,1
166,"from a single window, after all.",1
168,It was a matter of chance that I should have rented a house in one of,1
169,the strangest communities in North America. It was on that slender,1
170,riotous island which extends itself due east of New York—and where,1
171,"there are, among other natural curiosities, two unusual formations of",1
172,"land. Twenty miles from the city a pair of enormous eggs, identical in",1
173,"contour and separated only by a courtesy bay, jut out into the most",1
174,"domesticated body of salt water in the Western hemisphere, the great",1
175,wet barnyard of Long Island Sound. They are not perfect ovals—like the,1
176,"egg in the Columbus story, they are both crushed flat at the contact",1
177,end—but their physical resemblance must be a source of perpetual,1
178,wonder to the gulls that fly overhead. To the wingless a more,1
179,interesting phenomenon is their dissimilarity in every particular,1
180,except shape and size.,1
182,"I lived at West Egg, the—well, the less fashionable of the two, though",1
183,this is a most superficial tag to express the bizarre and not a little,1
184,sinister contrast between them. My house was at the very tip of the,1
185,"egg, only fifty yards from the Sound, and squeezed between two huge",1
186,places that rented for twelve or fifteen thousand a season. The one on,1
187,my right was a colossal affair by any standard—it was a factual,1
188,"imitation of some Hôtel de Ville in Normandy, with a tower on one",1
189,"side, spanking new under a thin beard of raw ivy, and a marble",1
190,"swimming pool, and more than forty acres of lawn and garden. It was",1
191,"Gatsby’s mansion. Or, rather, as I didn’t know Mr. Gatsby, it was a",1
192,mansion inhabited by a gentleman of that name. My own house was an,1
193,"eyesore, but it was a small eyesore, and it had been overlooked, so I",1
194,"had a view of the water, a partial view of my neighbour’s lawn, and",1
195,the consoling proximity of millionaires—all for eighty dollars a,1
196,month.,1
198,Across the courtesy bay the white palaces of fashionable East Egg,1
199,"glittered along the water, and the history of the summer really begins",1
200,on the evening I drove over there to have dinner with the Tom,1
201,"Buchanans. Daisy was my second cousin once removed, and I’d known Tom",1
202,in college. And just after the war I spent two days with them in,1
203,Chicago.,1
205,"Her husband, among various physical accomplishments, had been one of",1
206,the most powerful ends that ever played football at New Haven—a,1
207,"national figure in a way, one of those men who reach such an acute",1
208,limited excellence at twenty-one that everything afterward savours of,1
209,anticlimax. His family were enormously wealthy—even in college his,1
210,freedom with money was a matter for reproach—but now he’d left Chicago,1
211,and come East in a fashion that rather took your breath away: for,1
212,"instance, he’d brought down a string of polo ponies from Lake",1
213,Forest. It was hard to realize that a man in my own generation was,1
214,wealthy enough to do that.,1
216,Why they came East I don’t know. They had spent a year in France for,1
217,"no particular reason, and then drifted here and there unrestfully",1
218,wherever people played polo and were rich together. This was a,1
219,"permanent move, said Daisy over the telephone, but I didn’t believe",1
220,"it—I had no sight into Daisy’s heart, but I felt that Tom would drift",1
221,"on forever seeking, a little wistfully, for the dramatic turbulence of",1
222,some irrecoverable football game.,1
224,And so it happened that on a warm windy evening I drove over to East,1
225,Egg to see two old friends whom I scarcely knew at all. Their house,1
226,"was even more elaborate than I expected, a cheerful red-and-white",1
227,"Georgian Colonial mansion, overlooking the bay. The lawn started at",1
