term_str,n
the,2573
and,1594
a,1451
of,1233
to,1209
i,1180
in,861
he,797
was,766
that,596
it,539
you,528
his,490
with,465
at,417
her,392
had,381
she,371
on,371
for,336
me,325
as,277
him,273
from,247
but,243
my,242
said,233
all,233
out,211
this,210
we,201
gatsby,194
up,194
there,191
an,191
were,184
tom,175
or,173
into,168
if,165
about,157
by,150
daisy,147
one,146
they,146
when,144
have,143
over,140
be,140
then,137
so,137
what,128
is,126
like,120
down,118
,113
who,113
no,111
back,109
came,108
been,107
man,106
some,104
any,104
little,103
just,100
do,100
know,98
now,97
not,97
its,96
dont,96
before,91
went,91
house,91
project,90
after,88
eyes,86
come,85
got,85
see,84
mr,84
old,83
didnt,82
looked,82
other,81
time,81
them,81
your,78
away,76
way,75
more,75
get,74
new,73
car,73
two,72
which,72
im,72
night,71
us,71
moment,70
around,70
going,70
are,69
go,69
through,68
door,68
gatsbys,67
something,66
here,66
well,66
think,64
never,64
turned,64
people,63
jordan,63
hand,63
made,63
long,63
wilson,62
could,62
very,61
too,60
where,59
want,59
voice,58
work,56
again,56
gutenbergtm,56
their,55
room,55
first,55
knew,54
right,54
only,53
would,52
did,52
face,52
saw,52
look,51
began,50
id,48
while,48
took,48
sport,47
girl,47
toward,47
thought,47
because,46
off,45
last,45
even,45
told,44
young,44
asked,43
day,43
heard,43
white,42
light,42
afternoon,42
must,42
name,42
until,41
how,41
thats,40
suddenly,40
head,40
ill,40
men,40
left,40
can,40
years,39
ive,39
wasnt,39
seemed,39
hands,38
under,38
hour,38
miss,38
oh,38
found,38
baker,38
west,38
much,37
once,37
say,37
than,37
most,36
another,36
half,36
why,35
next,35
tell,35
upon,35
daisys,35
thing,35
three,35
without,35
looking,34
cant,34
each,34
full,34
minute,34
though,34
small,34
egg,33
always,33
against,33
works,33
sat,32
things,32
nothing,32
five,32
alone,32
gutenberg,32
table,31
youre,31
front,31
mrs,31
seen,31
along,31
own,31
cried,31
world,30
great,30
together,30
life,30
make,30
good,30
sound,30
himself,29
called,29
morning,29
still,29
anything,29
york,29
take,28
stood,28
those,28
our,28
ever,28
these,28
couldnt,28
will,28
electronic,27
let,27
every,27
wanted,27
moved,27
hes,27
home,27
side,26
across,26
gave,26
might,26
four,26
inquired,26
few,26
garage,26
shes,26
such,25
rather,25
dark,25
air,25
set,25
later,25
hot,25
wolfshiem,24
open,24
oclock,24
started,24
money,24
demanded,24
hear,24
steps,24
love,24
felt,24
between,24
terms,24
feet,23
nick,23
word,23
broke,23
walked,23
sort,23
course,23
gone,23
give,22
myrtle,22
almost,22
lawn,22
town,22
garden,22
yellow,22
everything,22
wouldnt,22
days,22
east,22
wife,22
foundation,22
married,22
hair,22
yes,22
among,21
end,21
has,21
blue,21
theres,21
girls,21
beside,21
met,21
place,21
road,21
put,21
buchanan,21
states,21
may,21
hadnt,21
michaelis,21
matter,20
agreement,20
used,20
windows,20
city,20
chicago,20
god,20
drive,20
rose,20
use,20
woman,20
trying,20
stopped,20
heart,19
except,19
year,19
loved,19
business,19
telephone,19
perhaps,19
tried,19
summer,19
body,19
copyright,19
big,19
ago,19
party,19
ought,18
doesnt,18
mean,18
dozen,18
brought,18
island,18
idea,18
copy,18
behind,18
far,18
itself,18
fact,18
call,18
passed,18
better,18
evening,18
inside,18
several,18
outside,18
slowly,18
license,17
whole,17
am,17
wont,17
rain,17
answered,17
happened,17
sure,17
many,17
sitting,17
times,17
same,17
office,17
person,17
myself,17
chair,17
fell,17
sent,17
high,17
find,17
window,17
shook,17
friend,17
hard,17
opened,17
believe,16
standing,16
green,16
somebody,16
arrived,16
live,16
waited,16
bought,16
nodded,16
bed,16
porch,16
butler,16
insisted,16
remember,16
bright,16
talked,16
already,16
followed,15
speak,15
least,15
leaned,15
immediately,15
reached,15
donations,15
united,15
drove,15
understand,15
hall,15
theyre,15
effort,15
dress,15
enough,15
suppose,15
mckee,15
anyone,15
expression,15
stared,15
glanced,15
certain,15
getting,15
train,15
ask,15
close,15
grey,15
quickly,15
whats,15
laughed,15
wait,15
dog,15
words,15
being,15
pretty,14
