chap_num,para_num,para_str,book_id
1,0,In my younger and more vulnerable years my father gave me some advice,Great Gatsby
1,1,that I’ve been turning over in my mind ever since.,Great Gatsby
1,2,"“Whenever you feel like criticizing anyone,” he told me, “just",Great Gatsby
1,3,remember that all the people in this world haven’t had the advantages,Great Gatsby
1,4,that you’ve had.”,Great Gatsby
1,5,"He didn’t say any more, but we’ve always been unusually communicative",Great Gatsby
1,6,"in a reserved way, and I understood that he meant a great deal more",Great Gatsby
1,7,"than that. In consequence, I’m inclined to reserve all judgements, a",Great Gatsby
1,8,habit that has opened up many curious natures to me and also made me,Great Gatsby
1,9,the victim of not a few veteran bores. The abnormal mind is quick to,Great Gatsby
1,10,detect and attach itself to this quality when it appears in a normal,Great Gatsby
1,11,"person, and so it came about that in college I was unjustly accused of",Great Gatsby
1,12,"being a politician, because I was privy to the secret griefs of wild,",Great Gatsby
1,13,unknown men. Most of the confidences were unsought—frequently I have,Great Gatsby
1,14,"feigned sleep, preoccupation, or a hostile levity when I realized by",Great Gatsby
1,15,some unmistakable sign that an intimate revelation was quivering on,Great Gatsby
1,16,"the horizon; for the intimate revelations of young men, or at least",Great Gatsby
1,17,"the terms in which they express them, are usually plagiaristic and",Great Gatsby
1,18,marred by obvious suppressions. Reserving judgements is a matter of,Great Gatsby
1,19,infinite hope. I am still a little afraid of missing something if I,Great Gatsby
1,20,"forget that, as my father snobbishly suggested, and I snobbishly",Great Gatsby
1,21,"repeat, a sense of the fundamental decencies is parcelled out",Great Gatsby
1,22,unequally at birth.,Great Gatsby
1,23,"And, after boasting this way of my tolerance, I come to the admission",Great Gatsby
1,24,that it has a limit. Conduct may be founded on the hard rock or the,Great Gatsby
1,25,"wet marshes, but after a certain point I don’t care what it’s founded",Great Gatsby
1,26,on. When I came back from the East last autumn I felt that I wanted,Great Gatsby
1,27,the world to be in uniform and at a sort of moral attention forever; I,Great Gatsby
1,28,wanted no more riotous excursions with privileged glimpses into the,Great Gatsby
1,29,"human heart. Only Gatsby, the man who gives his name to this book, was",Great Gatsby
1,30,"exempt from my reaction—Gatsby, who represented everything for which I",Great Gatsby
1,31,have an unaffected scorn. If personality is an unbroken series of,Great Gatsby
