term_str,term_id,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,dpidp,dfidf,df,idf,tfidf_sum_chap_max
,0,11722,0,0,,,,.,0.0,0.0,9,0.0,0.0
12,1,1,1,0,12,12,12,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
158th,2,1,1,0,158th,158th,158th,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0032214684974007242
1902,3,1,1,0,1902,1902,1902,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0033830576322756802
1906,4,1,1,0,1906,1906,1906,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
1915,5,1,1,0,1915,1915,1915,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
1919,6,3,1,0,1919,1919,1919,CD,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.004952304366606814
1922,7,1,1,0,1922,1922,1922,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
300,8,1,1,0,300,300,300,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
33rd,9,1,1,0,33rd,33rd,33rd,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0026615659122101697
430500,10,1,1,0,430500,430500,430500,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
500,11,1,1,0,500,500,500,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
500600,12,1,1,0,500600,500600,500600,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
5th,13,1,1,0,5th,5th,5th,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
600,14,1,1,0,600,600,600,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
615630,15,1,1,0,615630,615630,615630,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
700900,16,1,1,0,700900,700900,700900,CD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
715815,17,1,1,0,715815,715815,715815,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
830430,18,1,1,0,830430,830430,830430,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
a,19,1394,0,1,a,a,a,DT,0.0,0.0,9,0.0,0.0
aalmost,20,1,0,0,aalmost,aalmost,aalmost,VBN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
abandon,21,1,0,0,abandon,abandon,abandon,IN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
abandoned,22,2,0,0,abandon,abandon,abandon,VBD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.005096342446048733
able,23,6,0,0,abl,abl,abl,JJ,0.4711093925305277,4.23998453277475,5,0.8479969065549501,0.004634685388002608
abnormal,24,1,0,0,abnorm,abnorm,abnorm,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
abortive,25,2,0,0,abort,abort,abort,JJ,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003803065075408971
abounded,26,1,0,0,abound,abound,abound,VBD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003007518976700486
abounding,27,1,0,0,abound,abound,abound,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
about,28,149,0,1,about,about,about,IN,0.0,0.0,9,0.0,0.0
aboutthings,29,1,0,0,aboutth,aboutth,aboutth,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
above,30,7,0,1,abov,abov,abov,IN,0.4711093925305277,4.23998453277475,5,0.8479969065549501,0.005856232336572751
abrams,31,1,0,0,abram,abram,abram,NNP,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
abroad,32,1,0,0,abroad,abroad,abroad,RB,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003013236693386228
abrupt,33,1,0,0,abrupt,abrupt,abrupt,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
abruptly,34,7,0,0,abruptli,abrupt,abrupt,RB,0.4711093925305277,4.23998453277475,5,0.8479969065549501,0.004446542941865821
absence,35,3,0,0,absenc,absenc,abs,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.00508768583272437
absent,36,1,0,0,absent,absent,abs,VBP,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0033830576322756802
absently,37,3,0,0,absent,absent,abs,RB,0.5283208335737186,4.754887502163468,3,1.584962500721156,0.0041086280559675115
absolute,38,4,0,0,absolut,absolut,absolv,JJ,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.006046863463252223
absolutely,39,8,0,0,absolut,absolut,absolv,RB,0.4711093925305277,4.23998453277475,5,0.8479969065549501,0.005883140686488908
absorbed,40,4,0,0,absorb,absorb,absorb,VBD,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.007761375445885238
absorbing,41,2,0,0,absorb,absorb,absorb,VBG,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003019133691679185
abstracted,42,1,0,0,abstract,abstract,abstract,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
abstractedly,43,1,0,0,abstractedli,abstract,abstract,RB,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0026615659122101697
abstraction,44,1,0,0,abstract,abstract,abstract,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
absurd,45,3,0,0,absurd,absurd,absurd,JJ,0.5283208335737186,4.754887502163468,3,1.584962500721156,0.00421560281631763
abyss,46,1,0,0,abyss,abyss,abyss,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
accelerator,47,1,0,0,acceler,acceler,accel,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
accentuated,48,1,0,0,accentu,accentu,accentu,VBD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
accept,49,1,0,0,accept,accept,acceiv,VB,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0033830576322756802
accepted,50,7,0,0,accept,accept,acceiv,VBD,0.5199666673076944,4.6797000057692495,4,1.1699250014423124,0.007392798215848656
accident,51,6,0,0,accid,accid,accid,NN,0.5199666673076944,4.6797000057692495,4,1.1699250014423124,0.005536880533104768
accidental,52,3,0,0,accident,accident,accid,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.004939258059241897
accidentally,53,1,0,0,accident,accident,accid,RB,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
accompanied,54,1,0,0,accompani,accompani,accompany,VBN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003007518976700486
accompanies,55,1,0,0,accompani,accompani,accompany,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0033830576322756802
accomplishments,56,1,0,0,accomplish,accomplish,accompl,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
according,57,2,0,0,accord,accord,accord,VBG,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003880687722942619
account,58,1,0,0,account,account,account,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
accounted,59,1,0,0,account,account,account,VBN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0026615659122101697
accounting,60,2,0,0,account,account,account,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.0038846017008385978
accusations,61,2,0,0,accus,accus,accus,NNS,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.002412985785356367
accused,62,2,0,0,accus,accus,accus,JJ,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.0040601344752748585
accusingly,63,2,0,0,accusingli,accus,accus,RB,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003949521036923143
achievement,64,1,0,0,achiev,achiev,achiev,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003013236693386228
aching,65,1,0,0,ach,ach,ach,VBG,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003007518976700486
acknowledged,66,1,0,0,acknowledg,acknowledg,acknowledg,VBN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003013236693386228
acquaintance,67,2,0,0,acquaint,acquaint,acquaint,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.0034209957781339726
acquaintances,68,2,0,0,acquaint,acquaint,acquaint,NNS,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.0039593918444533515
acre,69,1,0,0,acr,acr,acr,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
acres,70,1,0,0,acr,acr,acr,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
across,71,26,0,0,across,across,across,IN,0.28199895063255076,2.5379905556929585,7,0.36257007938470837,0.00680614508086078
act,72,5,0,0,act,act,act,NN,0.5199666673076944,4.6797000057692495,4,1.1699250014423124,0.005271067569517792
acting,73,2,0,0,act,act,act,VBG,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.004121418724465831
action,74,1,0,0,action,action,act,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0032214684974007242
activities,75,1,0,0,activ,activ,act,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003013236693386228
actor,76,1,0,0,actor,actor,act,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
actress,77,1,0,0,actress,actress,actress,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0026615659122101697
actual,78,2,0,0,actual,actual,act,JJ,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003803065075408971
actually,79,3,0,0,actual,actual,act,RB,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.007984697736630509
acute,80,2,0,0,acut,acut,acut,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.005096342446048733
adam,81,1,0,0,adam,adam,adam,NNP,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003007518976700486
adapting,82,1,0,0,adapt,adapt,adapt,VBG,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
added,83,13,0,0,ad,ad,ad,VBD,0.1510444457264999,1.359400011538499,8,0.16992500144231237,0.0018064315539676361
addenda,84,1,0,0,addenda,addenda,addend,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
adding,85,2,0,0,ad,ad,ad,VBG,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.004374574146435739
addition,86,1,0,0,addit,addit,addit,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
address,87,4,0,0,address,address,address,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.007084485878620455
addressed,88,3,0,0,address,address,address,VBD,0.5283208335737186,4.754887502163468,3,1.584962500721156,0.0036168213374046486
addresses,89,1,0,0,address,address,address,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0033830576322756802
addressing,90,1,0,0,address,address,address,VBG,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
addressinside,91,1,0,0,addressinsid,addressinsid,addressinsid,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0026615659122101697
adjusted,92,1,0,0,adjust,adjust,adjust,VBD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003007518976700486
adjustment,93,1,0,0,adjust,adjust,adjust,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0033830576322756802
admiration,94,2,0,0,admir,admir,admir,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003353243938130534
admire,95,1,0,0,admir,admir,admir,IN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
admired,96,4,0,0,admir,admir,admir,VBD,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.007775317548331058
admiringly,97,1,0,0,admiringli,admir,admir,RB,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0032214684974007242
admission,98,2,0,0,admiss,admiss,admit,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003566248051781738
admitted,99,4,0,0,admit,admit,admit,VBD,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.004263711420297954
adorable,100,1,0,0,ador,ador,ad,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0032214684974007242
adore,101,1,0,0,ador,ador,ad,VBP,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003007518976700486
adriatic,102,1,0,0,adriat,adriat,adry,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
advance,103,1,0,0,advanc,advanc,adv,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002335980104231623
advanced,104,1,0,0,advanc,advanc,adv,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
advancing,105,1,0,0,advanc,advanc,adv,VBG,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0026615659122101697
advantage,106,2,0,0,advantag,advantag,adv,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003914882201627093
advantages,107,1,0,0,advantag,advantag,adv,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
adventitious,108,1,0,0,adventiti,adventiti,adv,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
adventurous,109,1,0,0,adventur,adventur,adv,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0026615659122101697
advertisement,110,4,0,0,advertis,advertis,advert,NN,0.5283208335737186,4.754887502163468,3,1.584962500721156,0.004306371725716924
advice,111,2,0,0,advic,advic,adv,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003498496211778299
advised,112,2,0,0,advis,advis,adv,VBD,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.0025582380590041323
aesthetic,113,1,0,0,aesthet,aesthet,aesthet,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
affair,114,6,0,0,affair,affair,affair,NN,0.5199666673076944,4.6797000057692495,4,1.1699250014423124,0.006239241543254687
affairs,115,2,0,0,affair,affair,affair,NNS,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.004137757122808506
affairsand,116,1,0,0,affairsand,affairsand,affairsand,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
affect,117,2,0,0,affect,affect,affect,VB,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003803065075408971
affectations,118,1,0,0,affect,affect,affect,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0026615659122101697
affected,119,2,0,0,affect,affect,affect,VBN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.004521030107949912
affection,120,2,0,0,affect,affect,affect,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.003949521036923143
affirmed,121,1,0,0,affirm,affirm,affirm,VBD,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0033830576322756802
afford,122,1,0,0,afford,afford,afford,VB,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
affront,123,1,0,0,affront,affront,affront,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
afraid,124,9,0,0,afraid,afraid,afraid,NN,0.28199895063255076,2.5379905556929585,7,0.36257007938470837,0.002426292098178714
after,125,88,0,1,after,after,aft,IN,0.0,0.0,9,0.0,0.0
afternoon,126,42,0,0,afternoon,afternoon,afternoon,NN,0.0,0.0,9,0.0,0.0
afternoons,127,2,0,0,afternoon,afternoon,afternoon,NNS,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.002378038260646896
afterward,128,6,0,0,afterward,afterward,afterward,RB,0.3899750004807708,3.5097750043269373,6,0.5849625007211562,0.002744123385430136
again,129,55,0,1,again,again,again,RB,0.0,0.0,9,0.0,0.0
against,130,32,0,1,against,against,against,IN,0.0,0.0,9,0.0,0.0
againthe,131,1,0,0,againth,againth,againth,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025481712230243665
age,132,5,0,0,age,age,ag,NN,0.5199666673076944,4.6797000057692495,4,1.1699250014423124,0.0040543299403104464
aggressive,133,1,0,0,aggress,aggress,aggress,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0025625909470026772
aggressively,134,2,0,0,aggress,aggress,aggress,RB,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.0040601344752748585
ago,135,19,0,0,ago,ago,ago,RB,0.0,0.0,9,0.0,0.0
agonizingly,136,1,0,0,agonizingli,agon,agon,RB,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0026615659122101697
agreeable,137,1,0,0,agreeabl,agreeabl,agr,JJ,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
agreed,138,9,0,0,agre,agre,agree,VBD,0.4711093925305277,4.23998453277475,5,0.8479969065549501,0.006386783491918863
agreement,139,2,0,0,agreement,agreement,agr,NN,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.00263586070653778
ah,140,1,0,0,ah,ah,ah,NNP,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.001189019130323448
ahead,141,5,0,0,ahead,ahead,ahead,RB,0.5199666673076944,4.6797000057692495,4,1.1699250014423124,0.00456127442917955
ahhh,142,2,0,0,ahhh,ahhh,ahhh,JJ,0.48220555587606934,4.339850002884624,2,2.169925001442312,0.0038846017008385978
aid,143,1,0,0,aid,aid,aid,NN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.0032214684974007242
ain,144,1,0,1,ain,ain,ain,NNP,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003007518976700486
air,145,25,0,0,air,air,air,NN,0.1510444457264999,1.359400011538499,8,0.16992500144231237,0.0037210727183384787
aired,146,1,0,0,air,air,air,VBN,0.3522138890491458,3.169925001442312,1,3.169925001442312,0.003013236693386228
