term_str,term_id,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,dpidp,dfidf,df,idf,tfidf_sum_chap_max,tfidf_sum_para_max
,0,11722,0,0,,,,.,0.0,0.0,4277,0.13882151542319424,0.0,549.1478370191693
12,1,1,1,0,12,12,12,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,4.067068335766509
158th,2,1,1,0,158th,158th,158th,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0032214684974007242,6.100602503649764
1902,3,1,1,0,1902,1902,1902,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0033830576322756802,12.201205007299528
1906,4,1,1,0,1906,1906,1906,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,4.067068335766509
1915,5,1,1,0,1915,1915,1915,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025481712230243665,4.067068335766509
1919,6,3,1,0,1919,1919,1919,CD,0.48220555587606934,4.339850002884624,3,10.616242506578372,0.004952304366606814,17.693737510963953
1922,7,1,1,0,1922,1922,1922,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.002335980104231623,4.067068335766509
300,8,1,1,0,300,300,300,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,2.440241001459906
33rd,9,1,1,0,33rd,33rd,33rd,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0026615659122101697,12.201205007299528
430500,10,1,1,0,430500,430500,430500,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,12.201205007299528
500,11,1,1,0,500,500,500,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,2.440241001459906
500600,12,1,1,0,500600,500600,500600,JJ,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,6.100602503649764
5th,13,1,1,0,5th,5th,5th,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.002335980104231623,4.067068335766509
600,14,1,1,0,600,600,600,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,12.201205007299528
615630,15,1,1,0,615630,615630,615630,JJ,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,12.201205007299528
700900,16,1,1,0,700900,700900,700900,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,12.201205007299528
715815,17,1,1,0,715815,715815,715815,JJ,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,4.067068335766509
830430,18,1,1,0,830430,830430,830430,JJ,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,12.201205007299528
a,19,1394,0,1,a,a,a,DT,0.0,0.0,1209,1.9616064780504041,0.0,1447.4624144159752
aalmost,20,1,0,0,aalmost,aalmost,aalmost,VBN,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.001189019130323448,6.100602503649764
abandon,21,1,0,0,abandon,abandon,abandon,IN,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.002335980104231623,4.067068335766509
abandoned,22,2,0,0,abandon,abandon,abandon,VBD,0.3522138890491458,3.169925001442312,2,11.201205007299528,0.005096342446048733,11.201205007299528
able,23,6,0,0,abl,abl,abl,JJ,0.4711093925305277,4.23998453277475,6,9.616242506578372,0.004634685388002608,22.4378991820162
abnormal,24,1,0,0,abnorm,abnorm,abnorm,JJ,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025481712230243665,6.100602503649764
abortive,25,2,0,0,abort,abort,abort,JJ,0.48220555587606934,4.339850002884624,2,11.201205007299528,0.003803065075408971,16.801807510949292
abounded,26,1,0,0,abound,abound,abound,VBD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.003007518976700486,6.100602503649764
abounding,27,1,0,0,abound,abound,abound,NN,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.001189019130323448,12.201205007299528
about,28,149,0,1,about,about,about,IN,0.0,0.0,146,5.01138044841951,0.0,376.2552395245505
aboutthings,29,1,0,0,aboutth,aboutth,aboutth,NNS,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025481712230243665,2.440241001459906
above,30,7,0,1,abov,abov,abov,IN,0.4711093925305277,4.23998453277475,7,9.393850085241924,0.005856232336572751,31.31283361747308
abrams,31,1,0,0,abram,abram,abram,NNP,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.002335980104231623,6.100602503649764
abroad,32,1,0,0,abroad,abroad,abroad,RB,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.003013236693386228,6.100602503649764
abrupt,33,1,0,0,abrupt,abrupt,abrupt,JJ,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.001189019130323448,12.201205007299528
abruptly,34,7,0,0,abruptli,abrupt,abrupt,RB,0.4711093925305277,4.23998453277475,7,9.393850085241924,0.004446542941865821,48.848020443258
absence,35,3,0,0,absenc,absenc,abs,NN,0.48220555587606934,4.339850002884624,3,10.616242506578372,0.00508768583272437,14.154990008771161
absent,36,1,0,0,absent,absent,abs,VBP,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0033830576322756802,12.201205007299528
absently,37,3,0,0,absent,absent,abs,RB,0.5283208335737186,4.754887502163468,3,10.616242506578372,0.0041086280559675115,6.293915200328606
absolute,38,4,0,0,absolut,absolut,absolv,JJ,0.48220555587606934,4.339850002884624,4,10.201205007299528,0.006046863463252223,20.742450181509042
absolutely,39,8,0,0,absolut,absolut,absolv,RB,0.4711093925305277,4.23998453277475,8,9.201205007299528,0.005883140686488908,23.30971935182547
absorbed,40,4,0,0,absorb,absorb,absorb,VBD,0.48220555587606934,4.339850002884624,4,10.201205007299528,0.007761375445885238,23.8028116836989
absorbing,41,2,0,0,absorb,absorb,absorb,VBG,0.48220555587606934,4.339850002884624,2,11.201205007299528,0.003019133691679185,22.402410014599056
abstracted,42,1,0,0,abstract,abstract,abstract,JJ,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.002335980104231623,6.100602503649764
abstractedly,43,1,0,0,abstractedli,abstract,abstract,RB,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0026615659122101697,2.0335341678832544
abstraction,44,1,0,0,abstract,abstract,abstract,NN,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.002335980104231623,12.201205007299528
absurd,45,3,0,0,absurd,absurd,absurd,JJ,0.5283208335737186,4.754887502163468,3,10.616242506578372,0.00421560281631763,21.232485013156744
abyss,46,1,0,0,abyss,abyss,abyss,NN,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.001189019130323448,12.201205007299528
accelerator,47,1,0,0,acceler,acceler,accel,NN,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.001189019130323448,12.201205007299528
accentuated,48,1,0,0,accentu,accentu,accentu,VBD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025481712230243665,12.201205007299528
accept,49,1,0,0,accept,accept,acceiv,VB,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0033830576322756802,6.100602503649764
accepted,50,7,0,0,accept,accept,acceiv,VBD,0.5199666673076944,4.6797000057692495,7,9.393850085241924,0.007392798215848656,50.10053378795693
accident,51,6,0,0,accid,accid,accid,NN,0.5199666673076944,4.6797000057692495,6,9.616242506578372,0.005536880533104768,21.155733514472416
accidental,52,3,0,0,accident,accident,accid,NN,0.48220555587606934,4.339850002884624,3,10.616242506578372,0.004939258059241897,18.57842438651215
accidentally,53,1,0,0,accident,accident,accid,RB,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025481712230243665,6.100602503649764
accompanied,54,1,0,0,accompani,accompani,accompany,VBN,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.003007518976700486,6.100602503649764
accompanies,55,1,0,0,accompani,accompani,accompany,NNS,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0033830576322756802,6.100602503649764
accomplishments,56,1,0,0,accomplish,accomplish,accompl,NNS,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025481712230243665,6.100602503649764
according,57,2,0,0,accord,accord,accord,VBG,0.48220555587606934,4.339850002884624,2,11.201205007299528,0.003880687722942619,22.402410014599056
