term_id,term_str,n,num
0,,11722,0
1,12,1,1
2,158th,1,1
3,1902,1,1
4,1906,1,1
5,1915,1,1
6,1919,3,1
7,1922,1,1
8,300,1,1
9,33rd,1,1
10,430500,1,1
11,500,1,1
12,500600,1,1
13,5th,1,1
14,600,1,1
15,615630,1,1
16,700900,1,1
17,715815,1,1
18,830430,1,1
19,a,1394,0
20,aalmost,1,0
21,abandon,1,0
22,abandoned,2,0
23,able,6,0
24,abnormal,1,0
25,abortive,2,0
26,abounded,1,0
27,abounding,1,0
28,about,149,0
29,aboutthings,1,0
30,above,7,0
31,abrams,1,0
32,abroad,1,0
33,abrupt,1,0
34,abruptly,7,0
35,absence,3,0
36,absent,1,0
37,absently,3,0
38,absolute,4,0
39,absolutely,8,0
40,absorbed,4,0
41,absorbing,2,0
42,abstracted,1,0
43,abstractedly,1,0
44,abstraction,1,0
45,absurd,3,0
46,abyss,1,0
47,accelerator,1,0
48,accentuated,1,0
49,accept,1,0
50,accepted,7,0
51,accident,6,0
52,accidental,3,0
53,accidentally,1,0
54,accompanied,1,0
55,accompanies,1,0
56,accomplishments,1,0
57,according,2,0
58,account,1,0
59,accounted,1,0
60,accounting,2,0
61,accusations,2,0
62,accused,2,0
63,accusingly,2,0
64,achievement,1,0
65,aching,1,0
66,acknowledged,1,0
67,acquaintance,2,0
68,acquaintances,2,0
69,acre,1,0
70,acres,1,0
71,across,26,0
72,act,5,0
73,acting,2,0
74,action,1,0
75,activities,1,0
76,actor,1,0
77,actress,1,0
78,actual,2,0
79,actually,3,0
80,acute,2,0
81,adam,1,0
82,adapting,1,0
83,added,13,0
84,addenda,1,0
85,adding,2,0
86,addition,1,0
87,address,4,0
88,addressed,3,0
89,addresses,1,0
90,addressing,1,0
91,addressinside,1,0
92,adjusted,1,0
93,adjustment,1,0
94,admiration,2,0
95,admire,1,0
96,admired,4,0
97,admiringly,1,0
98,admission,2,0
99,admitted,4,0
100,adorable,1,0
101,adore,1,0
102,adriatic,1,0
103,advance,1,0
104,advanced,1,0
105,advancing,1,0
106,advantage,2,0
107,advantages,1,0
108,adventitious,1,0
109,adventurous,1,0
110,advertisement,4,0
111,advice,2,0
112,advised,2,0
113,aesthetic,1,0
114,affair,6,0
115,affairs,2,0
116,affairsand,1,0
117,affect,2,0
118,affectations,1,0
119,affected,2,0
120,affection,2,0
121,affirmed,1,0
122,afford,1,0
123,affront,1,0
124,afraid,9,0
125,after,88,0
126,afternoon,42,0
127,afternoons,2,0
128,afterward,6,0
129,again,55,0
130,against,32,0
131,againthe,1,0
132,age,5,0
133,aggressive,1,0
134,aggressively,2,0
135,ago,19,0
136,agonizingly,1,0
137,agreeable,1,0
138,agreed,9,0
139,agreement,2,0
140,ah,1,0
141,ahead,5,0
142,ahhh,2,0
143,aid,1,0
144,ain,1,0
145,air,25,0
146,aired,1,0
147,airedale,2,0
148,airedaleundoubtedly,1,0
149,ajar,2,0
150,alarm,1,0
151,alarmed,2,0
152,alarming,1,0
153,albany,1,0
154,albrucksburger,1,0
155,alcohol,1,0
156,ale,4,0
157,aleand,1,0
158,alert,3,0
159,alertly,2,0
160,alighted,1,0
161,alignment,1,0
162,alive,5,0
163,all,216,0
164,alland,1,0
165,allexcept,1,0
166,alleys,1,0
167,allied,1,0
168,allnight,1,0
169,alltom,1,0
170,almost,20,0
171,alone,31,0
172,alonefifty,1,0
173,alonehe,1,0
174,along,31,0
175,alongshore,3,0
176,alongside,2,0
177,aloud,5,0
178,already,15,0
179,also,5,0
180,altered,1,0
181,although,1,0
182,altogether,1,0
183,aluminium,1,0
184,always,34,0
185,am,17,0
186,amazed,2,0
187,amazing,2,0
188,ambiguously,1,0
189,ambitions,1,0
190,ambitious,2,0
191,ambulance,1,0
192,amen,1,0
193,america,2,0
194,american,5,0
195,americans,2,0
196,americanthat,1,0
197,amid,1,0
198,ammonia,1,0
199,among,21,0
200,amorphous,1,0
201,amount,4,0
202,amour,1,0
203,amputated,1,0
204,amused,2,0
205,amusement,1,0
206,an,186,0
207,anaemic,1,0
208,ancestors,1,0
209,ancestral,1,0
210,anchor,2,0
211,anchored,1,0
212,and,1529,0
213,andeats,1,0
214,andhere,1,0
215,angle,1,0
216,angry,4,0
217,announced,4,0
218,annoy,1,0
219,annoyance,1,0
220,annoyed,3,0
221,anon,1,0
222,another,36,0
223,answer,9,0
224,answered,17,0
225,answering,2,0
226,antecedents,1,0
227,anteroom,1,0
228,anticipation,1,0
229,anticlimax,1,0
230,antly,1,0
231,antoinette,1,0
232,anxiously,4,0
233,any,67,0
234,anybody,7,0
235,anyhow,12,0
236,anyhowdaisy,1,0
237,anyone,10,0
238,anything,27,0
239,anyways,1,0
240,anywhere,3,0
241,aof,1,0
242,apart,4,0
243,apartment,6,0
244,apartmenthouses,1,0
245,apartments,3,0
246,apathetically,1,0
247,apologetically,1,0
248,apologize,1,0
249,apology,2,0
250,appalled,1,0
251,appalling,1,0
252,apparently,6,0
253,apparition,1,0
254,appeal,1,0
255,appearance,2,0
256,appeared,6,0
257,appears,1,0
258,appended,1,0
259,appendicitis,1,0
260,applegreen,1,0
261,appreciated,1,0
262,approached,3,0
263,appropriate,2,0
264,approved,1,0
265,approving,1,0
266,april,1,0
267,aquaplanes,1,0
268,araby,1,0
269,arc,1,0
270,arched,1,0
271,archway,1,0
272,ardita,1,0
273,are,46,0
274,area,1,0
275,aren,4,0
276,argonne,2,0
277,argue,1,0
278,argued,1,0
279,argument,3,0
280,arguments,1,0
281,arm,15,0
282,armistice,3,0
283,arms,12,0
284,armsbut,1,0
285,army,5,0
286,arose,1,0
287,around,70,0
288,arrange,3,0
289,arrangement,2,0
290,arrangements,1,0
291,arrest,1,0
292,arrival,1,0
293,arrivals,2,0
294,arrive,2,0
295,arrived,16,0
296,arrogant,2,0
297,art,1,0
298,arthur,1,0
299,articles,1,0
300,artificial,3,0
301,artistic,1,0
302,as,267,0
303,asa,1,0
304,ascertain,1,0
305,ascertained,1,0
306,ashamed,1,0
307,ashen,2,0
308,ashes,5,0
309,ashesa,1,0
310,asheville,1,0
311,ashgrey,2,0
312,ashheaps,5,0
313,ashtrays,1,0
314,aside,4,0
315,ask,15,0
316,asked,43,0
317,asking,1,0
318,asleep,10,0
319,asleepshe,1,0
320,aspect,1,0
321,aspired,1,0
322,asserted,3,0
323,assertions,1,0
324,associated,2,0
325,association,1,0
326,assumed,4,0
327,assumption,1,0
328,assure,1,0
329,assured,6,0
330,astonished,1,0
331,astonishing,1,0
332,astonishment,2,0
333,astoria,1,0
334,astoriaonly,1,0
335,astounded,1,0
336,astounding,1,0
337,asunder,1,0
338,at,404,0
339,ate,2,0
340,athlete,1,0
341,atlantic,1,0
342,atmosphere,1,0
343,attach,2,0
344,attached,1,0
345,attacksat,1,0
346,attain,2,0
347,attempt,4,0
348,attempting,2,0
349,attend,1,0
350,attention,6,0
351,attired,1,0
352,attracted,2,0
353,attractively,1,0
354,audible,2,0
355,audibly,1,0
356,auerbach,1,0
357,august,2,0
358,aunt,3,0
359,auntbut,1,0
360,aunts,1,0
361,authentic,1,0
362,authentically,1,0
363,authoritative,1,0
364,authoritatively,1,0
365,authorities,1,0
366,authority,1,0
367,auto,1,0
368,automatic,1,0
369,automatically,3,0
370,automobile,2,0
371,automobiles,5,0
372,autumn,5,0
373,autumnleaf,1,0
374,avenue,4,0
375,avoid,2,0
376,avoided,2,0
377,avoiding,1,0
378,awaited,1,0
379,aware,10,0
380,away,74,0
381,awayand,1,0
382,awed,3,0
383,awful,4,0
384,awfully,1,0
385,awkward,1,0
386,awnings,1,0
387,awoke,2,0
388,axe,1,0
389,b,5,0
390,babbled,1,0
391,baby,3,0
392,back,109,0
393,backed,1,0
394,background,1,0
395,backhyssons,1,0
396,backs,1,0
397,backward,6,0
398,bad,11,0
399,baedeker,5,0
400,baffled,1,0
401,bag,2,0
402,baggage,1,0
403,baked,1,0
404,baker,40,0
405,baking,1,0
406,balance,1,0
407,balancing,4,0
408,ball,2,0
409,balloon,1,0
410,ballooned,1,0
