,term_str,pos_max,count,n,num,stop,stem_porter,stem_snowball,stem_lancaster
0,,.,3360,11722,0,0,,,
1,12,CD,1,1,1,0,12,12,12
2,158th,CD,1,1,1,0,158th,158th,158th
3,1902,CD,1,1,1,0,1902,1902,1902
4,1906,CD,1,1,1,0,1906,1906,1906
5,1915,CD,1,1,1,0,1915,1915,1915
6,1919,CD,3,3,1,0,1919,1919,1919
7,1922,CD,1,1,1,0,1922,1922,1922
8,300,CD,1,1,1,0,300,300,300
9,33rd,CD,1,1,1,0,33rd,33rd,33rd
10,430500,CD,1,1,1,0,430500,430500,430500
11,500,CD,1,1,1,0,500,500,500
12,500600,JJ,1,1,1,0,500600,500600,500600
13,5th,CD,1,1,1,0,5th,5th,5th
14,600,CD,1,1,1,0,600,600,600
15,615630,JJ,1,1,1,0,615630,615630,615630
16,700900,CD,1,1,1,0,700900,700900,700900
17,715815,JJ,1,1,1,0,715815,715815,715815
18,830430,JJ,1,1,1,0,830430,830430,830430
19,a,DT,1391,1394,0,1,a,a,a
20,aalmost,VBN,1,1,0,0,aalmost,aalmost,aalmost
21,abandon,IN,1,1,0,0,abandon,abandon,abandon
22,abandoned,VBD,1,2,0,0,abandon,abandon,abandon
23,able,JJ,6,6,0,0,abl,abl,abl
24,abnormal,JJ,1,1,0,0,abnorm,abnorm,abnorm
25,abortive,JJ,2,2,0,0,abort,abort,abort
26,abounded,VBD,1,1,0,0,abound,abound,abound
27,abounding,NN,1,1,0,0,abound,abound,abound
28,about,IN,136,149,0,1,about,about,about
29,aboutthings,NNS,1,1,0,0,aboutth,aboutth,aboutth
30,above,IN,7,7,0,1,abov,abov,abov
31,abrams,NNP,1,1,0,0,abram,abram,abram
32,abroad,RB,1,1,0,0,abroad,abroad,abroad
33,abrupt,JJ,1,1,0,0,abrupt,abrupt,abrupt
34,abruptly,RB,7,7,0,0,abruptli,abrupt,abrupt
35,absence,NN,3,3,0,0,absenc,absenc,abs
36,absent,VBP,1,1,0,0,absent,absent,abs
37,absently,RB,3,3,0,0,absent,absent,abs
38,absolute,NN,2,4,0,0,absolut,absolut,absolv
39,absolutely,RB,8,8,0,0,absolut,absolut,absolv
40,absorbed,VBD,2,4,0,0,absorb,absorb,absorb
41,absorbing,VBG,2,2,0,0,absorb,absorb,absorb
