term_str,term_id,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,dpidp,dfidf
,0,11722,0,0,,,,.,0.0,0.0
12,1,1,1,0,12,12,12,CD,0.3522138890491458,3.169925001442312
158th,2,1,1,0,158th,158th,158th,CD,0.3522138890491458,3.169925001442312
1902,3,1,1,0,1902,1902,1902,CD,0.3522138890491458,3.169925001442312
1906,4,1,1,0,1906,1906,1906,CD,0.3522138890491458,3.169925001442312
1915,5,1,1,0,1915,1915,1915,CD,0.3522138890491458,3.169925001442312
1919,6,3,1,0,1919,1919,1919,CD,0.48220555587606934,4.339850002884624
1922,7,1,1,0,1922,1922,1922,CD,0.3522138890491458,3.169925001442312
300,8,1,1,0,300,300,300,CD,0.3522138890491458,3.169925001442312
33rd,9,1,1,0,33rd,33rd,33rd,CD,0.3522138890491458,3.169925001442312
430500,10,1,1,0,430500,430500,430500,CD,0.3522138890491458,3.169925001442312
500,11,1,1,0,500,500,500,CD,0.3522138890491458,3.169925001442312
500600,12,1,1,0,500600,500600,500600,JJ,0.3522138890491458,3.169925001442312
5th,13,1,1,0,5th,5th,5th,CD,0.3522138890491458,3.169925001442312
600,14,1,1,0,600,600,600,CD,0.3522138890491458,3.169925001442312
615630,15,1,1,0,615630,615630,615630,JJ,0.3522138890491458,3.169925001442312
700900,16,1,1,0,700900,700900,700900,CD,0.3522138890491458,3.169925001442312
715815,17,1,1,0,715815,715815,715815,JJ,0.3522138890491458,3.169925001442312
830430,18,1,1,0,830430,830430,830430,JJ,0.3522138890491458,3.169925001442312
a,19,1394,0,1,a,a,a,DT,0.0,0.0
aalmost,20,1,0,0,aalmost,aalmost,aalmost,VBN,0.3522138890491458,3.169925001442312
abandon,21,1,0,0,abandon,abandon,abandon,IN,0.3522138890491458,3.169925001442312
abandoned,22,2,0,0,abandon,abandon,abandon,VBD,0.3522138890491458,3.169925001442312
able,23,6,0,0,abl,abl,abl,JJ,0.4711093925305277,4.23998453277475
abnormal,24,1,0,0,abnorm,abnorm,abnorm,JJ,0.3522138890491458,3.169925001442312
abortive,25,2,0,0,abort,abort,abort,JJ,0.48220555587606934,4.339850002884624
abounded,26,1,0,0,abound,abound,abound,VBD,0.3522138890491458,3.169925001442312
abounding,27,1,0,0,abound,abound,abound,NN,0.3522138890491458,3.169925001442312
about,28,149,0,1,about,about,about,IN,0.0,0.0
aboutthings,29,1,0,0,aboutth,aboutth,aboutth,NNS,0.3522138890491458,3.169925001442312
above,30,7,0,1,abov,abov,abov,IN,0.4711093925305277,4.23998453277475
abrams,31,1,0,0,abram,abram,abram,NNP,0.3522138890491458,3.169925001442312
abroad,32,1,0,0,abroad,abroad,abroad,RB,0.3522138890491458,3.169925001442312
abrupt,33,1,0,0,abrupt,abrupt,abrupt,JJ,0.3522138890491458,3.169925001442312
abruptly,34,7,0,0,abruptli,abrupt,abrupt,RB,0.4711093925305277,4.23998453277475
absence,35,3,0,0,absenc,absenc,abs,NN,0.48220555587606934,4.339850002884624
absent,36,1,0,0,absent,absent,abs,VBP,0.3522138890491458,3.169925001442312
absently,37,3,0,0,absent,absent,abs,RB,0.5283208335737186,4.754887502163468
absolute,38,4,0,0,absolut,absolut,absolv,JJ,0.48220555587606934,4.339850002884624
absolutely,39,8,0,0,absolut,absolut,absolv,RB,0.4711093925305277,4.23998453277475
absorbed,40,4,0,0,absorb,absorb,absorb,VBD,0.48220555587606934,4.339850002884624
absorbing,41,2,0,0,absorb,absorb,absorb,VBG,0.48220555587606934,4.339850002884624
abstracted,42,1,0,0,abstract,abstract,abstract,JJ,0.3522138890491458,3.169925001442312
abstractedly,43,1,0,0,abstractedli,abstract,abstract,RB,0.3522138890491458,3.169925001442312
abstraction,44,1,0,0,abstract,abstract,abstract,NN,0.3522138890491458,3.169925001442312
absurd,45,3,0,0,absurd,absurd,absurd,JJ,0.5283208335737186,4.754887502163468
abyss,46,1,0,0,abyss,abyss,abyss,NN,0.3522138890491458,3.169925001442312
accelerator,47,1,0,0,acceler,acceler,accel,NN,0.3522138890491458,3.169925001442312
accentuated,48,1,0,0,accentu,accentu,accentu,VBD,0.3522138890491458,3.169925001442312
accept,49,1,0,0,accept,accept,acceiv,VB,0.3522138890491458,3.169925001442312
accepted,50,7,0,0,accept,accept,acceiv,VBD,0.5199666673076944,4.6797000057692495
accident,51,6,0,0,accid,accid,accid,NN,0.5199666673076944,4.6797000057692495
accidental,52,3,0,0,accident,accident,accid,NN,0.48220555587606934,4.339850002884624
accidentally,53,1,0,0,accident,accident,accid,RB,0.3522138890491458,3.169925001442312
accompanied,54,1,0,0,accompani,accompani,accompany,VBN,0.3522138890491458,3.169925001442312
accompanies,55,1,0,0,accompani,accompani,accompany,NNS,0.3522138890491458,3.169925001442312
accomplishments,56,1,0,0,accomplish,accomplish,accompl,NNS,0.3522138890491458,3.169925001442312
according,57,2,0,0,accord,accord,accord,VBG,0.48220555587606934,4.339850002884624
account,58,1,0,0,account,account,account,NN,0.3522138890491458,3.169925001442312
accounted,59,1,0,0,account,account,account,VBN,0.3522138890491458,3.169925001442312
accounting,60,2,0,0,account,account,account,NN,0.48220555587606934,4.339850002884624
accusations,61,2,0,0,accus,accus,accus,NNS,0.48220555587606934,4.339850002884624
accused,62,2,0,0,accus,accus,accus,JJ,0.48220555587606934,4.339850002884624
accusingly,63,2,0,0,accusingli,accus,accus,RB,0.48220555587606934,4.339850002884624
achievement,64,1,0,0,achiev,achiev,achiev,NN,0.3522138890491458,3.169925001442312
aching,65,1,0,0,ach,ach,ach,VBG,0.3522138890491458,3.169925001442312
acknowledged,66,1,0,0,acknowledg,acknowledg,acknowledg,VBN,0.3522138890491458,3.169925001442312
acquaintance,67,2,0,0,acquaint,acquaint,acquaint,NN,0.48220555587606934,4.339850002884624
acquaintances,68,2,0,0,acquaint,acquaint,acquaint,NNS,0.48220555587606934,4.339850002884624
acre,69,1,0,0,acr,acr,acr,NN,0.3522138890491458,3.169925001442312
acres,70,1,0,0,acr,acr,acr,NNS,0.3522138890491458,3.169925001442312
across,71,26,0,0,across,across,across,IN,0.28199895063255076,2.5379905556929585
act,72,5,0,0,act,act,act,NN,0.5199666673076944,4.6797000057692495
acting,73,2,0,0,act,act,act,VBG,0.48220555587606934,4.339850002884624
action,74,1,0,0,action,action,act,NN,0.3522138890491458,3.169925001442312
activities,75,1,0,0,activ,activ,act,NNS,0.3522138890491458,3.169925001442312
actor,76,1,0,0,actor,actor,act,NN,0.3522138890491458,3.169925001442312
actress,77,1,0,0,actress,actress,actress,NN,0.3522138890491458,3.169925001442312
actual,78,2,0,0,actual,actual,act,JJ,0.48220555587606934,4.339850002884624
actually,79,3,0,0,actual,actual,act,RB,0.3522138890491458,3.169925001442312
acute,80,2,0,0,acut,acut,acut,JJ,0.3522138890491458,3.169925001442312
