term_str,term_id,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,dpidp,dfidf,df,idf,tfidf_sum_chap_max,tfidf_sum_para_max,p,s,i,h,wlen
,0,11722,0,0,,,,.,0.0,0.0,4277,0.13882151542319424,0.0,549.1478370191693,0.19195624406379982,5.209520559631462,2.381150605119983,0.45707672670907606,0
12,1,1,1,0,12,12,12,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,4.067068335766509,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,2
158th,2,1,1,0,158th,158th,158th,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0032214684974007242,6.100602503649764,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,5
1902,3,1,1,0,1902,1902,1902,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0033830576322756802,12.201205007299528,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,4
1906,4,1,1,0,1906,1906,1906,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,4.067068335766509,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,4
1915,5,1,1,0,1915,1915,1915,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025481712230243665,4.067068335766509,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,4
1919,6,3,1,0,1919,1919,1919,CD,0.48220555587606934,4.339850002884624,3,10.616242506578372,0.004952304366606814,17.693737510963953,4.912717387744408e-05,20355.333333333332,14.313119226397523,0.0007031630969638191,4
1922,7,1,1,0,1922,1922,1922,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.002335980104231623,4.067068335766509,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,4
300,8,1,1,0,300,300,300,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,2.440241001459906,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,3
33rd,9,1,1,0,33rd,33rd,33rd,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0026615659122101697,12.201205007299528,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,4
430500,10,1,1,0,430500,430500,430500,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,12.201205007299528,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,6
500,11,1,1,0,500,500,500,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,2.440241001459906,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,3
500600,12,1,1,0,500600,500600,500600,JJ,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,6.100602503649764,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,6
5th,13,1,1,0,5th,5th,5th,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.002335980104231623,4.067068335766509,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,3
600,14,1,1,0,600,600,600,CD,0.3522138890491458,3.169925001442312,1,12.201205007299528,0.0025625909470026772,12.201205007299528,1.6375724625814693e-05,61066.0,15.89808172711868,0.00026034260844199193,3
